Value,StationName,ParameterName,ReadingDate
16.0,Ardrossan,Outdoor Temperature,2026-05-09T14:00:00-06:00
0.002,Ardrossan,Total Oxides of Nitrogen,2026-05-09T14:00:00-06:00
0.038,Ardrossan,Ozone,2026-05-09T14:00:00-06:00
0.001,Ardrossan,Sulphur Dioxide,2026-05-09T14:00:00-06:00
0.0,Ardrossan,Hydrogen Sulphide,2026-05-09T14:00:00-06:00
4.6,Ardrossan,Fine Particulate Matter,2026-05-09T14:00:00-06:00
0.002,Ardrossan,Nitrogen Dioxide,2026-05-09T14:00:00-06:00
4.0,Ardrossan,Wind Speed,2026-05-09T14:00:00-06:00
15.0,Ardrossan,Wind Direction,2026-05-09T14:00:00-06:00
0.001,Ardrossan,Nitric Oxide,2026-05-09T14:00:00-06:00
2.0,Ardrossan,,2026-05-09T14:00:00-06:00
6.1,Ardrossan,Fine Particulate Matter,2026-05-09T13:00:00-06:00
2.0,Ardrossan,,2026-05-09T13:00:00-06:00
1.0,Ardrossan,Wind Speed,2026-05-09T13:00:00-06:00
0.005,Ardrossan,Total Oxides of Nitrogen,2026-05-09T13:00:00-06:00
0.004,Ardrossan,Sulphur Dioxide,2026-05-09T13:00:00-06:00
148.0,Ardrossan,Wind Direction,2026-05-09T13:00:00-06:00
0.002,Ardrossan,Nitric Oxide,2026-05-09T13:00:00-06:00
0.0,Ardrossan,Hydrogen Sulphide,2026-05-09T13:00:00-06:00
13.0,Ardrossan,Outdoor Temperature,2026-05-09T13:00:00-06:00
0.003,Ardrossan,Nitrogen Dioxide,2026-05-09T13:00:00-06:00
0.033,Ardrossan,Ozone,2026-05-09T13:00:00-06:00
2.0,Ardrossan,,2026-05-09T12:00:00-06:00
0.003,Ardrossan,Nitric Oxide,2026-05-09T12:00:00-06:00
0.002,Ardrossan,Nitrogen Dioxide,2026-05-09T12:00:00-06:00
4.2,Ardrossan,Fine Particulate Matter,2026-05-09T12:00:00-06:00
140.0,Ardrossan,Wind Direction,2026-05-09T12:00:00-06:00
3.0,Ardrossan,Wind Speed,2026-05-09T12:00:00-06:00
0.005,Ardrossan,Total Oxides of Nitrogen,2026-05-09T12:00:00-06:00
0.0,Ardrossan,Hydrogen Sulphide,2026-05-09T12:00:00-06:00
0.0,Ardrossan,Sulphur Dioxide,2026-05-09T12:00:00-06:00
11.0,Ardrossan,Outdoor Temperature,2026-05-09T12:00:00-06:00
0.027,Ardrossan,Ozone,2026-05-09T12:00:00-06:00
154.0,Ardrossan,Wind Direction,2026-05-09T11:00:00-06:00
0.001,Ardrossan,Nitric Oxide,2026-05-09T11:00:00-06:00
0.0,Ardrossan,Hydrogen Sulphide,2026-05-09T11:00:00-06:00
0.006,Ardrossan,Total Oxides of Nitrogen,2026-05-09T11:00:00-06:00
4.3,Ardrossan,Fine Particulate Matter,2026-05-09T11:00:00-06:00
0.0,Ardrossan,Sulphur Dioxide,2026-05-09T11:00:00-06:00
2.0,Ardrossan,,2026-05-09T11:00:00-06:00
0.025,Ardrossan,Ozone,2026-05-09T11:00:00-06:00
4.0,Ardrossan,Wind Speed,2026-05-09T11:00:00-06:00
9.0,Ardrossan,Outdoor Temperature,2026-05-09T11:00:00-06:00
0.004,Ardrossan,Nitrogen Dioxide,2026-05-09T11:00:00-06:00
