Value,StationName,ParameterName,ReadingDate
149.0,Enoch,Wind Direction,2026-05-10T06:00:00-06:00
2.0,Enoch,,2026-05-10T06:00:00-06:00
59.2,Enoch,Relative Humidity,2026-05-10T06:00:00-06:00
0.003,Enoch,Nitrogen Dioxide,2026-05-10T06:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-10T06:00:00-06:00
6.2,Enoch,Wind Speed,2026-05-10T06:00:00-06:00
9.1,Enoch,Fine Particulate Matter,2026-05-10T06:00:00-06:00
9.0,Enoch,Outdoor Temperature,2026-05-10T06:00:00-06:00
0.029,Enoch,Ozone,2026-05-10T06:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-10T06:00:00-06:00
,Enoch,Total Oxides of Nitrogen,2026-05-10T05:00:00-06:00
,Enoch,Nitrogen Dioxide,2026-05-10T05:00:00-06:00
59.2,Enoch,Relative Humidity,2026-05-10T05:00:00-06:00
,Enoch,,2026-05-10T05:00:00-06:00
5.8,Enoch,Wind Speed,2026-05-10T05:00:00-06:00
11.5,Enoch,Fine Particulate Matter,2026-05-10T05:00:00-06:00
,Enoch,Ozone,2026-05-10T05:00:00-06:00
,Enoch,Nitric Oxide,2026-05-10T05:00:00-06:00
140.0,Enoch,Wind Direction,2026-05-10T05:00:00-06:00
9.0,Enoch,Outdoor Temperature,2026-05-10T05:00:00-06:00
57.1,Enoch,Relative Humidity,2026-05-10T04:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-10T04:00:00-06:00
6.2,Enoch,Wind Speed,2026-05-10T04:00:00-06:00
9.6,Enoch,Outdoor Temperature,2026-05-10T04:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-10T04:00:00-06:00
8.4,Enoch,Fine Particulate Matter,2026-05-10T04:00:00-06:00
0.002,Enoch,Nitrogen Dioxide,2026-05-10T04:00:00-06:00
143.0,Enoch,Wind Direction,2026-05-10T04:00:00-06:00
0.031,Enoch,Ozone,2026-05-10T04:00:00-06:00
2.0,Enoch,,2026-05-10T04:00:00-06:00
10.2,Enoch,Outdoor Temperature,2026-05-10T03:00:00-06:00
6.5,Enoch,Wind Speed,2026-05-10T03:00:00-06:00
0.033,Enoch,Ozone,2026-05-10T03:00:00-06:00
0.002,Enoch,Nitrogen Dioxide,2026-05-10T03:00:00-06:00
54.3,Enoch,Relative Humidity,2026-05-10T03:00:00-06:00
9.5,Enoch,Fine Particulate Matter,2026-05-10T03:00:00-06:00
143.0,Enoch,Wind Direction,2026-05-10T03:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-10T03:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-10T03:00:00-06:00
2.0,Enoch,,2026-05-10T03:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-10T02:00:00-06:00
0.035,Enoch,Ozone,2026-05-10T02:00:00-06:00
10.3,Enoch,Fine Particulate Matter,2026-05-10T02:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-10T02:00:00-06:00
6.5,Enoch,Wind Speed,2026-05-10T02:00:00-06:00
10.8,Enoch,Outdoor Temperature,2026-05-10T02:00:00-06:00
51.1,Enoch,Relative Humidity,2026-05-10T02:00:00-06:00
140.0,Enoch,Wind Direction,2026-05-10T02:00:00-06:00
0.003,Enoch,Nitrogen Dioxide,2026-05-10T02:00:00-06:00
3.0,Enoch,,2026-05-10T02:00:00-06:00
3.0,Enoch,,2026-05-10T01:00:00-06:00
0.002,Enoch,Nitrogen Dioxide,2026-05-10T01:00:00-06:00
0.037,Enoch,Ozone,2026-05-10T01:00:00-06:00
9.9,Enoch,Fine Particulate Matter,2026-05-10T01:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-10T01:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-10T01:00:00-06:00
47.8,Enoch,Relative Humidity,2026-05-10T01:00:00-06:00
11.6,Enoch,Outdoor Temperature,2026-05-10T01:00:00-06:00
135.0,Enoch,Wind Direction,2026-05-10T01:00:00-06:00
5.7,Enoch,Wind Speed,2026-05-10T01:00:00-06:00
3.0,Enoch,,2026-05-10T00:00:00-06:00
0.002,Enoch,Nitrogen Dioxide,2026-05-10T00:00:00-06:00
9.9,Enoch,Fine Particulate Matter,2026-05-10T00:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-10T00:00:00-06:00
0.039,Enoch,Ozone,2026-05-10T00:00:00-06:00
42.7,Enoch,Relative Humidity,2026-05-10T00:00:00-06:00
124.0,Enoch,Wind Direction,2026-05-10T00:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-10T00:00:00-06:00
6.6,Enoch,Wind Speed,2026-05-10T00:00:00-06:00
13.2,Enoch,Outdoor Temperature,2026-05-10T00:00:00-06:00
