Value,StationName,ParameterName,ReadingDate
0.0066,Leduc Sensor,Nitrogen Dioxide,2026-01-28T03:00:00-07:00
90.0,Leduc Sensor,Relative Humidity,2026-01-28T03:00:00-07:00
-10.2,Leduc Sensor,Outdoor Temperature,2026-01-28T03:00:00-07:00
0.0285,Leduc Sensor,Ozone,2026-01-28T03:00:00-07:00
21.7,Leduc Sensor,Fine Particulate Matter,2026-01-28T03:00:00-07:00
3.0,Leduc Sensor,,2026-01-28T03:00:00-07:00
0.029,Leduc Sensor,Ozone,2026-01-28T02:00:00-07:00
90.0,Leduc Sensor,Relative Humidity,2026-01-28T02:00:00-07:00
20.3,Leduc Sensor,Fine Particulate Matter,2026-01-28T02:00:00-07:00
-10.4,Leduc Sensor,Outdoor Temperature,2026-01-28T02:00:00-07:00
0.0067,Leduc Sensor,Nitrogen Dioxide,2026-01-28T02:00:00-07:00
3.0,Leduc Sensor,,2026-01-28T02:00:00-07:00
16.5,Leduc Sensor,Fine Particulate Matter,2026-01-28T01:00:00-07:00
-10.4,Leduc Sensor,Outdoor Temperature,2026-01-28T01:00:00-07:00
90.0,Leduc Sensor,Relative Humidity,2026-01-28T01:00:00-07:00
0.0067,Leduc Sensor,Nitrogen Dioxide,2026-01-28T01:00:00-07:00
0.0292,Leduc Sensor,Ozone,2026-01-28T01:00:00-07:00
3.0,Leduc Sensor,,2026-01-28T01:00:00-07:00
3.0,Leduc Sensor,,2026-01-28T00:00:00-07:00
22.7,Leduc Sensor,Fine Particulate Matter,2026-01-28T00:00:00-07:00
0.0263,Leduc Sensor,Ozone,2026-01-28T00:00:00-07:00
89.0,Leduc Sensor,Relative Humidity,2026-01-28T00:00:00-07:00
-9.3,Leduc Sensor,Outdoor Temperature,2026-01-28T00:00:00-07:00
0.0082,Leduc Sensor,Nitrogen Dioxide,2026-01-28T00:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T23:00:00-07:00
0.0089,Leduc Sensor,Nitrogen Dioxide,2026-01-27T23:00:00-07:00
0.0251,Leduc Sensor,Ozone,2026-01-27T23:00:00-07:00
89.0,Leduc Sensor,Relative Humidity,2026-01-27T23:00:00-07:00
31.6,Leduc Sensor,Fine Particulate Matter,2026-01-27T23:00:00-07:00
-8.2,Leduc Sensor,Outdoor Temperature,2026-01-27T23:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T22:00:00-07:00
0.0098,Leduc Sensor,Nitrogen Dioxide,2026-01-27T22:00:00-07:00
0.0238,Leduc Sensor,Ozone,2026-01-27T22:00:00-07:00
-8.3,Leduc Sensor,Outdoor Temperature,2026-01-27T22:00:00-07:00
33.3,Leduc Sensor,Fine Particulate Matter,2026-01-27T22:00:00-07:00
89.0,Leduc Sensor,Relative Humidity,2026-01-27T22:00:00-07:00
0.0111,Leduc Sensor,Nitrogen Dioxide,2026-01-27T21:00:00-07:00
0.021,Leduc Sensor,Ozone,2026-01-27T21:00:00-07:00
33.8,Leduc Sensor,Fine Particulate Matter,2026-01-27T21:00:00-07:00
88.0,Leduc Sensor,Relative Humidity,2026-01-27T21:00:00-07:00
-7.9,Leduc Sensor,Outdoor Temperature,2026-01-27T21:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T21:00:00-07:00
0.017,Leduc Sensor,Ozone,2026-01-27T20:00:00-07:00
0.0141,Leduc Sensor,Nitrogen Dioxide,2026-01-27T20:00:00-07:00
40.8,Leduc Sensor,Fine Particulate Matter,2026-01-27T20:00:00-07:00
86.0,Leduc Sensor,Relative Humidity,2026-01-27T20:00:00-07:00
-6.9,Leduc Sensor,Outdoor Temperature,2026-01-27T20:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T20:00:00-07:00
84.0,Leduc Sensor,Relative Humidity,2026-01-27T19:00:00-07:00
0.0146,Leduc Sensor,Ozone,2026-01-27T19:00:00-07:00
0.0165,Leduc Sensor,Nitrogen Dioxide,2026-01-27T19:00:00-07:00
-6.3,Leduc Sensor,Outdoor Temperature,2026-01-27T19:00:00-07:00
42.8,Leduc Sensor,Fine Particulate Matter,2026-01-27T19:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T19:00:00-07:00
49.3,Leduc Sensor,Fine Particulate Matter,2026-01-27T18:00:00-07:00
-5.6,Leduc Sensor,Outdoor Temperature,2026-01-27T18:00:00-07:00
81.0,Leduc Sensor,Relative Humidity,2026-01-27T18:00:00-07:00
0.0156,Leduc Sensor,Ozone,2026-01-27T18:00:00-07:00
0.0164,Leduc Sensor,Nitrogen Dioxide,2026-01-27T18:00:00-07:00
5.0,Leduc Sensor,,2026-01-27T18:00:00-07:00
5.0,Leduc Sensor,,2026-01-27T17:00:00-07:00
0.0211,Leduc Sensor,Ozone,2026-01-27T17:00:00-07:00
0.0122,Leduc Sensor,Nitrogen Dioxide,2026-01-27T17:00:00-07:00
53.5,Leduc Sensor,Fine Particulate Matter,2026-01-27T17:00:00-07:00
70.0,Leduc Sensor,Relative Humidity,2026-01-27T17:00:00-07:00
-3.5,Leduc Sensor,Outdoor Temperature,2026-01-27T17:00:00-07:00
59.0,Leduc Sensor,Relative Humidity,2026-01-27T16:00:00-07:00
0.0253,Leduc Sensor,Ozone,2026-01-27T16:00:00-07:00
-0.8,Leduc Sensor,Outdoor Temperature,2026-01-27T16:00:00-07:00
0.0093,Leduc Sensor,Nitrogen Dioxide,2026-01-27T16:00:00-07:00
53.3,Leduc Sensor,Fine Particulate Matter,2026-01-27T16:00:00-07:00
5.0,Leduc Sensor,,2026-01-27T16:00:00-07:00
5.0,Leduc Sensor,,2026-01-27T15:00:00-07:00
2.4,Leduc Sensor,Outdoor Temperature,2026-01-27T15:00:00-07:00
0.0224,Leduc Sensor,Ozone,2026-01-27T15:00:00-07:00
0.0124,Leduc Sensor,Nitrogen Dioxide,2026-01-27T15:00:00-07:00
53.9,Leduc Sensor,Fine Particulate Matter,2026-01-27T15:00:00-07:00
50.0,Leduc Sensor,Relative Humidity,2026-01-27T15:00:00-07:00
5.0,Leduc Sensor,,2026-01-27T14:00:00-07:00
0.5,Leduc Sensor,Outdoor Temperature,2026-01-27T14:00:00-07:00
0.0111,Leduc Sensor,Nitrogen Dioxide,2026-01-27T14:00:00-07:00
54.4,Leduc Sensor,Fine Particulate Matter,2026-01-27T14:00:00-07:00
0.0232,Leduc Sensor,Ozone,2026-01-27T14:00:00-07:00
56.0,Leduc Sensor,Relative Humidity,2026-01-27T14:00:00-07:00
60.0,Leduc Sensor,Relative Humidity,2026-01-27T13:00:00-07:00
50.2,Leduc Sensor,Fine Particulate Matter,2026-01-27T13:00:00-07:00
0.009,Leduc Sensor,Nitrogen Dioxide,2026-01-27T13:00:00-07:00
0.0252,Leduc Sensor,Ozone,2026-01-27T13:00:00-07:00
-1.8,Leduc Sensor,Outdoor Temperature,2026-01-27T13:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T13:00:00-07:00
61.0,Leduc Sensor,Relative Humidity,2026-01-27T12:00:00-07:00
0.0211,Leduc Sensor,Ozone,2026-01-27T12:00:00-07:00
49.2,Leduc Sensor,Fine Particulate Matter,2026-01-27T12:00:00-07:00
-2.8,Leduc Sensor,Outdoor Temperature,2026-01-27T12:00:00-07:00
0.0128,Leduc Sensor,Nitrogen Dioxide,2026-01-27T12:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T12:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T11:00:00-07:00
0.0219,Leduc Sensor,Ozone,2026-01-27T11:00:00-07:00
0.012,Leduc Sensor,Nitrogen Dioxide,2026-01-27T11:00:00-07:00
40.5,Leduc Sensor,Fine Particulate Matter,2026-01-27T11:00:00-07:00
-4.7,Leduc Sensor,Outdoor Temperature,2026-01-27T11:00:00-07:00
75.0,Leduc Sensor,Relative Humidity,2026-01-27T11:00:00-07:00
4.0,Leduc Sensor,,2026-01-27T10:00:00-07:00
-7.2,Leduc Sensor,Outdoor Temperature,2026-01-27T10:00:00-07:00
32.3,Leduc Sensor,Fine Particulate Matter,2026-01-27T10:00:00-07:00
0.0233,Leduc Sensor,Ozone,2026-01-27T10:00:00-07:00
0.0118,Leduc Sensor,Nitrogen Dioxide,2026-01-27T10:00:00-07:00
83.0,Leduc Sensor,Relative Humidity,2026-01-27T10:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T09:00:00-07:00
85.0,Leduc Sensor,Relative Humidity,2026-01-27T09:00:00-07:00
0.0118,Leduc Sensor,Nitrogen Dioxide,2026-01-27T09:00:00-07:00
0.0241,Leduc Sensor,Ozone,2026-01-27T09:00:00-07:00
27.5,Leduc Sensor,Fine Particulate Matter,2026-01-27T09:00:00-07:00
-8.6,Leduc Sensor,Outdoor Temperature,2026-01-27T09:00:00-07:00
0.0288,Leduc Sensor,Ozone,2026-01-27T08:00:00-07:00
-8.8,Leduc Sensor,Outdoor Temperature,2026-01-27T08:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T08:00:00-07:00
25.6,Leduc Sensor,Fine Particulate Matter,2026-01-27T08:00:00-07:00
0.0082,Leduc Sensor,Nitrogen Dioxide,2026-01-27T08:00:00-07:00
85.0,Leduc Sensor,Relative Humidity,2026-01-27T08:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T07:00:00-07:00
0.0075,Leduc Sensor,Nitrogen Dioxide,2026-01-27T07:00:00-07:00
20.3,Leduc Sensor,Fine Particulate Matter,2026-01-27T07:00:00-07:00
-9.1,Leduc Sensor,Outdoor Temperature,2026-01-27T07:00:00-07:00
85.0,Leduc Sensor,Relative Humidity,2026-01-27T07:00:00-07:00
0.0312,Leduc Sensor,Ozone,2026-01-27T07:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T06:00:00-07:00
-9.7,Leduc Sensor,Outdoor Temperature,2026-01-27T06:00:00-07:00
0.0065,Leduc Sensor,Nitrogen Dioxide,2026-01-27T06:00:00-07:00
0.0344,Leduc Sensor,Ozone,2026-01-27T06:00:00-07:00
84.0,Leduc Sensor,Relative Humidity,2026-01-27T06:00:00-07:00
14.7,Leduc Sensor,Fine Particulate Matter,2026-01-27T06:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T05:00:00-07:00
-10.1,Leduc Sensor,Outdoor Temperature,2026-01-27T05:00:00-07:00
0.0369,Leduc Sensor,Ozone,2026-01-27T05:00:00-07:00
11.5,Leduc Sensor,Fine Particulate Matter,2026-01-27T05:00:00-07:00
0.0056,Leduc Sensor,Nitrogen Dioxide,2026-01-27T05:00:00-07:00
83.0,Leduc Sensor,Relative Humidity,2026-01-27T05:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T04:00:00-07:00
0.0048,Leduc Sensor,Nitrogen Dioxide,2026-01-27T04:00:00-07:00
10.0,Leduc Sensor,Fine Particulate Matter,2026-01-27T04:00:00-07:00
82.0,Leduc Sensor,Relative Humidity,2026-01-27T04:00:00-07:00
-10.5,Leduc Sensor,Outdoor Temperature,2026-01-27T04:00:00-07:00
0.039,Leduc Sensor,Ozone,2026-01-27T04:00:00-07:00
3.0,Leduc Sensor,,2026-01-27T03:00:00-07:00
