Value,StationName,ParameterName,ReadingDate
0.0,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T14:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T14:00:00-06:00
5.4,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T14:00:00-06:00
19.4,O’Morrow Station 1,Outdoor Temperature,2026-05-07T14:00:00-06:00
22.1,O’Morrow Station 1,Wind Speed,2026-05-07T14:00:00-06:00
311.0,O’Morrow Station 1,Wind Direction,2026-05-07T14:00:00-06:00
21.5,O’Morrow Station 1,Relative Humidity,2026-05-07T14:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T13:00:00-06:00
18.5,O’Morrow Station 1,Outdoor Temperature,2026-05-07T13:00:00-06:00
0.0,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T13:00:00-06:00
24.7,O’Morrow Station 1,Relative Humidity,2026-05-07T13:00:00-06:00
4.9,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T13:00:00-06:00
24.3,O’Morrow Station 1,Wind Speed,2026-05-07T13:00:00-06:00
302.0,O’Morrow Station 1,Wind Direction,2026-05-07T13:00:00-06:00
20.5,O’Morrow Station 1,Wind Speed,2026-05-07T12:00:00-06:00
7.1,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T12:00:00-06:00
26.7,O’Morrow Station 1,Relative Humidity,2026-05-07T12:00:00-06:00
312.0,O’Morrow Station 1,Wind Direction,2026-05-07T12:00:00-06:00
17.6,O’Morrow Station 1,Outdoor Temperature,2026-05-07T12:00:00-06:00
0.001,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T12:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T12:00:00-06:00
30.0,O’Morrow Station 1,Relative Humidity,2026-05-07T11:00:00-06:00
19.4,O’Morrow Station 1,Wind Speed,2026-05-07T11:00:00-06:00
328.0,O’Morrow Station 1,Wind Direction,2026-05-07T11:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T11:00:00-06:00
5.8,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T11:00:00-06:00
0.001,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T11:00:00-06:00
16.0,O’Morrow Station 1,Outdoor Temperature,2026-05-07T11:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T10:00:00-06:00
34.0,O’Morrow Station 1,Relative Humidity,2026-05-07T10:00:00-06:00
20.8,O’Morrow Station 1,Wind Speed,2026-05-07T10:00:00-06:00
13.9,O’Morrow Station 1,Outdoor Temperature,2026-05-07T10:00:00-06:00
327.0,O’Morrow Station 1,Wind Direction,2026-05-07T10:00:00-06:00
0.001,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T10:00:00-06:00
6.9,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T10:00:00-06:00
11.9,O’Morrow Station 1,Outdoor Temperature,2026-05-07T09:00:00-06:00
0.0,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T09:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T09:00:00-06:00
333.0,O’Morrow Station 1,Wind Direction,2026-05-07T09:00:00-06:00
6.8,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T09:00:00-06:00
19.1,O’Morrow Station 1,Wind Speed,2026-05-07T09:00:00-06:00
39.3,O’Morrow Station 1,Relative Humidity,2026-05-07T09:00:00-06:00
18.2,O’Morrow Station 1,Wind Speed,2026-05-07T08:00:00-06:00
11.1,O’Morrow Station 1,Outdoor Temperature,2026-05-07T08:00:00-06:00
43.5,O’Morrow Station 1,Relative Humidity,2026-05-07T08:00:00-06:00
9.7,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T08:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T08:00:00-06:00
312.0,O’Morrow Station 1,Wind Direction,2026-05-07T08:00:00-06:00
0.0,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T08:00:00-06:00
9.2,O’Morrow Station 1,Outdoor Temperature,2026-05-07T07:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T07:00:00-06:00
7.3,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T07:00:00-06:00
300.0,O’Morrow Station 1,Wind Direction,2026-05-07T07:00:00-06:00
51.0,O’Morrow Station 1,Relative Humidity,2026-05-07T07:00:00-06:00
13.9,O’Morrow Station 1,Wind Speed,2026-05-07T07:00:00-06:00
0.0,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T07:00:00-06:00
8.4,O’Morrow Station 1,Outdoor Temperature,2026-05-07T06:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T06:00:00-06:00
0.0,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T06:00:00-06:00
6.7,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T06:00:00-06:00
57.0,O’Morrow Station 1,Relative Humidity,2026-05-07T06:00:00-06:00
294.0,O’Morrow Station 1,Wind Direction,2026-05-07T06:00:00-06:00
13.8,O’Morrow Station 1,Wind Speed,2026-05-07T06:00:00-06:00
287.0,O’Morrow Station 1,Wind Direction,2026-05-07T05:00:00-06:00
8.8,O’Morrow Station 1,Outdoor Temperature,2026-05-07T05:00:00-06:00
,O’Morrow Station 1,Sulphur Dioxide,2026-05-07T05:00:00-06:00
9.7,O’Morrow Station 1,Fine Particulate Matter,2026-05-07T05:00:00-06:00
59.0,O’Morrow Station 1,Relative Humidity,2026-05-07T05:00:00-06:00
0.0,O’Morrow Station 1,Total Reduced Sulphur,2026-05-07T05:00:00-06:00
