Value,StationName,ParameterName,ReadingDate
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T12:00:00-07:00
317.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T12:00:00-07:00
37.0,Poacher’s Landing Station 2,Wind Speed,2026-01-15T12:00:00-07:00
314.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T11:00:00-07:00
37.3,Poacher’s Landing Station 2,Wind Speed,2026-01-15T11:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T11:00:00-07:00
35.2,Poacher’s Landing Station 2,Wind Speed,2026-01-15T10:00:00-07:00
317.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T10:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T10:00:00-07:00
32.2,Poacher’s Landing Station 2,Wind Speed,2026-01-15T09:00:00-07:00
314.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T09:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T09:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T08:00:00-07:00
29.1,Poacher’s Landing Station 2,Wind Speed,2026-01-15T08:00:00-07:00
315.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T08:00:00-07:00
314.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T07:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T07:00:00-07:00
27.6,Poacher’s Landing Station 2,Wind Speed,2026-01-15T07:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T06:00:00-07:00
31.0,Poacher’s Landing Station 2,Wind Speed,2026-01-15T06:00:00-07:00
288.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T06:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T05:00:00-07:00
283.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T05:00:00-07:00
34.3,Poacher’s Landing Station 2,Wind Speed,2026-01-15T05:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T04:00:00-07:00
291.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T04:00:00-07:00
29.9,Poacher’s Landing Station 2,Wind Speed,2026-01-15T04:00:00-07:00
33.4,Poacher’s Landing Station 2,Wind Speed,2026-01-15T03:00:00-07:00
291.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T03:00:00-07:00
,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T03:00:00-07:00
33.9,Poacher’s Landing Station 2,Wind Speed,2026-01-15T02:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T02:00:00-07:00
291.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T02:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T01:00:00-07:00
290.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T01:00:00-07:00
36.4,Poacher’s Landing Station 2,Wind Speed,2026-01-15T01:00:00-07:00
34.4,Poacher’s Landing Station 2,Wind Speed,2026-01-15T00:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-15T00:00:00-07:00
290.0,Poacher’s Landing Station 2,Wind Direction,2026-01-15T00:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T23:00:00-07:00
289.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T23:00:00-07:00
33.9,Poacher’s Landing Station 2,Wind Speed,2026-01-14T23:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T22:00:00-07:00
287.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T22:00:00-07:00
33.2,Poacher’s Landing Station 2,Wind Speed,2026-01-14T22:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T21:00:00-07:00
32.5,Poacher’s Landing Station 2,Wind Speed,2026-01-14T21:00:00-07:00
286.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T21:00:00-07:00
32.0,Poacher’s Landing Station 2,Wind Speed,2026-01-14T20:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T20:00:00-07:00
285.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T20:00:00-07:00
33.6,Poacher’s Landing Station 2,Wind Speed,2026-01-14T19:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T19:00:00-07:00
286.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T19:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T18:00:00-07:00
29.8,Poacher’s Landing Station 2,Wind Speed,2026-01-14T18:00:00-07:00
289.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T18:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T17:00:00-07:00
31.0,Poacher’s Landing Station 2,Wind Speed,2026-01-14T17:00:00-07:00
287.0,Poacher’s Landing Station 2,Wind Direction,2026-01-14T17:00:00-07:00
0.0,Poacher’s Landing Station 2,Total Reduced Sulphur,2026-01-14T16:00:00-07:00
