Value,StationName,ParameterName,ReadingDate
,Sherwood Park,Sulphur Dioxide,2026-03-31T13:00:00-06:00
,Sherwood Park,Nitrogen Dioxide,2026-03-31T13:00:00-06:00
,Sherwood Park,Wind Direction,2026-03-31T13:00:00-06:00
,Sherwood Park,Hydrogen Sulphide,2026-03-31T13:00:00-06:00
,Sherwood Park,Ozone,2026-03-31T13:00:00-06:00
,Sherwood Park,Nitric Oxide,2026-03-31T13:00:00-06:00
,Sherwood Park,Wind Speed,2026-03-31T13:00:00-06:00
,Sherwood Park,,2026-03-31T13:00:00-06:00
,Sherwood Park,Total Hydrocarbons,2026-03-31T13:00:00-06:00
,Sherwood Park,Total Oxides of Nitrogen,2026-03-31T13:00:00-06:00
,Sherwood Park,Fine Particulate Matter,2026-03-31T13:00:00-06:00
,Sherwood Park,Outdoor Temperature,2026-03-31T13:00:00-06:00
0.0,Sherwood Park,Hydrogen Sulphide,2026-03-31T12:00:00-06:00
0.001,Sherwood Park,Sulphur Dioxide,2026-03-31T12:00:00-06:00
2.04,Sherwood Park,Total Hydrocarbons,2026-03-31T12:00:00-06:00
0.006,Sherwood Park,Nitric Oxide,2026-03-31T12:00:00-06:00
9.7,Sherwood Park,Fine Particulate Matter,2026-03-31T12:00:00-06:00
0.008,Sherwood Park,Nitrogen Dioxide,2026-03-31T12:00:00-06:00
3.0,Sherwood Park,,2026-03-31T12:00:00-06:00
204.0,Sherwood Park,Wind Direction,2026-03-31T12:00:00-06:00
6.0,Sherwood Park,Wind Speed,2026-03-31T12:00:00-06:00
0.0,Sherwood Park,Outdoor Temperature,2026-03-31T12:00:00-06:00
0.029,Sherwood Park,Ozone,2026-03-31T12:00:00-06:00
0.014,Sherwood Park,Total Oxides of Nitrogen,2026-03-31T12:00:00-06:00
2.0,Sherwood Park,,2026-03-31T11:00:00-06:00
203.0,Sherwood Park,Wind Direction,2026-03-31T11:00:00-06:00
6.0,Sherwood Park,Wind Speed,2026-03-31T11:00:00-06:00
9.8,Sherwood Park,Fine Particulate Matter,2026-03-31T11:00:00-06:00
0.001,Sherwood Park,Sulphur Dioxide,2026-03-31T11:00:00-06:00
2.09,Sherwood Park,Total Hydrocarbons,2026-03-31T11:00:00-06:00
0.008,Sherwood Park,Nitrogen Dioxide,2026-03-31T11:00:00-06:00
-3.0,Sherwood Park,Outdoor Temperature,2026-03-31T11:00:00-06:00
0.014,Sherwood Park,Total Oxides of Nitrogen,2026-03-31T11:00:00-06:00
0.028,Sherwood Park,Ozone,2026-03-31T11:00:00-06:00
0.006,Sherwood Park,Nitric Oxide,2026-03-31T11:00:00-06:00
0.0,Sherwood Park,Hydrogen Sulphide,2026-03-31T11:00:00-06:00
2.0,Sherwood Park,,2026-03-31T10:00:00-06:00
7.6,Sherwood Park,Fine Particulate Matter,2026-03-31T10:00:00-06:00
-5.0,Sherwood Park,Outdoor Temperature,2026-03-31T10:00:00-06:00
193.0,Sherwood Park,Wind Direction,2026-03-31T10:00:00-06:00
0.028,Sherwood Park,Ozone,2026-03-31T10:00:00-06:00
0.011,Sherwood Park,Total Oxides of Nitrogen,2026-03-31T10:00:00-06:00
