Value,StationName,ParameterName,ReadingDate
2.9,Woodcroft,Wind Speed,2026-07-17T05:00:00-06:00
,Woodcroft,Nitrogen Dioxide,2026-07-17T05:00:00-06:00
,Woodcroft,Nitric Oxide,2026-07-17T05:00:00-06:00
92.8,Woodcroft,Relative Humidity,2026-07-17T05:00:00-06:00
,Woodcroft,Ozone,2026-07-17T05:00:00-06:00
,Woodcroft,Sulphur Dioxide,2026-07-17T05:00:00-06:00
18.3,Woodcroft,Outdoor Temperature,2026-07-17T05:00:00-06:00
,Woodcroft,Total Oxides of Nitrogen,2026-07-17T05:00:00-06:00
194.0,Woodcroft,Wind Direction,2026-07-17T05:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-17T05:00:00-06:00
,Woodcroft,,2026-07-17T05:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-17T04:00:00-06:00
,Woodcroft,,2026-07-17T04:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-17T04:00:00-06:00
91.1,Woodcroft,Relative Humidity,2026-07-17T04:00:00-06:00
0.009,Woodcroft,Nitrogen Dioxide,2026-07-17T04:00:00-06:00
184.0,Woodcroft,Wind Direction,2026-07-17T04:00:00-06:00
3.7,Woodcroft,Wind Speed,2026-07-17T04:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-17T04:00:00-06:00
0.01,Woodcroft,Total Oxides of Nitrogen,2026-07-17T04:00:00-06:00
0.013,Woodcroft,Ozone,2026-07-17T04:00:00-06:00
19.0,Woodcroft,Outdoor Temperature,2026-07-17T04:00:00-06:00
0.007,Woodcroft,Nitrogen Dioxide,2026-07-17T03:00:00-06:00
87.7,Woodcroft,Relative Humidity,2026-07-17T03:00:00-06:00
186.0,Woodcroft,Wind Direction,2026-07-17T03:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-17T03:00:00-06:00
4.3,Woodcroft,Wind Speed,2026-07-17T03:00:00-06:00
20.1,Woodcroft,Outdoor Temperature,2026-07-17T03:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-17T03:00:00-06:00
0.02,Woodcroft,Ozone,2026-07-17T03:00:00-06:00
0.007,Woodcroft,Total Oxides of Nitrogen,2026-07-17T03:00:00-06:00
,Woodcroft,,2026-07-17T03:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-17T03:00:00-06:00
,Woodcroft,,2026-07-17T02:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-17T02:00:00-06:00
6.0,Woodcroft,Wind Speed,2026-07-17T02:00:00-06:00
20.9,Woodcroft,Outdoor Temperature,2026-07-17T02:00:00-06:00
85.6,Woodcroft,Relative Humidity,2026-07-17T02:00:00-06:00
177.0,Woodcroft,Wind Direction,2026-07-17T02:00:00-06:00
0.006,Woodcroft,Nitrogen Dioxide,2026-07-17T02:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-17T02:00:00-06:00
0.024,Woodcroft,Ozone,2026-07-17T02:00:00-06:00
0.006,Woodcroft,Total Oxides of Nitrogen,2026-07-17T02:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-17T02:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-17T01:00:00-06:00
,Woodcroft,,2026-07-17T01:00:00-06:00
6.5,Woodcroft,Wind Speed,2026-07-17T01:00:00-06:00
176.0,Woodcroft,Wind Direction,2026-07-17T01:00:00-06:00
21.6,Woodcroft,Outdoor Temperature,2026-07-17T01:00:00-06:00
79.9,Woodcroft,Relative Humidity,2026-07-17T01:00:00-06:00
0.01,Woodcroft,Nitrogen Dioxide,2026-07-17T01:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-17T01:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-17T01:00:00-06:00
0.01,Woodcroft,Total Oxides of Nitrogen,2026-07-17T01:00:00-06:00
0.022,Woodcroft,Ozone,2026-07-17T01:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-17T00:00:00-06:00
,Woodcroft,,2026-07-17T00:00:00-06:00
71.4,Woodcroft,Relative Humidity,2026-07-17T00:00:00-06:00
0.027,Woodcroft,Ozone,2026-07-17T00:00:00-06:00
170.0,Woodcroft,Wind Direction,2026-07-17T00:00:00-06:00
0.009,Woodcroft,Nitrogen Dioxide,2026-07-17T00:00:00-06:00
5.3,Woodcroft,Wind Speed,2026-07-17T00:00:00-06:00
22.5,Woodcroft,Outdoor Temperature,2026-07-17T00:00:00-06:00
0.009,Woodcroft,Total Oxides of Nitrogen,2026-07-17T00:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-17T00:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-17T00:00:00-06:00
0.03,Woodcroft,Ozone,2026-07-16T23:00:00-06:00
3.8,Woodcroft,Wind Speed,2026-07-16T23:00:00-06:00
23.4,Woodcroft,Outdoor Temperature,2026-07-16T23:00:00-06:00
0.011,Woodcroft,Nitrogen Dioxide,2026-07-16T23:00:00-06:00
57.1,Woodcroft,Relative Humidity,2026-07-16T23:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T23:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T23:00:00-06:00
0.011,Woodcroft,Total Oxides of Nitrogen,2026-07-16T23:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T23:00:00-06:00
,Woodcroft,,2026-07-16T23:00:00-06:00
181.0,Woodcroft,Wind Direction,2026-07-16T23:00:00-06:00
246.0,Woodcroft,Wind Direction,2026-07-16T22:00:00-06:00
0.005,Woodcroft,Total Oxides of Nitrogen,2026-07-16T22:00:00-06:00
3.4,Woodcroft,Wind Speed,2026-07-16T22:00:00-06:00
26.0,Woodcroft,Outdoor Temperature,2026-07-16T22:00:00-06:00
0.042,Woodcroft,Ozone,2026-07-16T22:00:00-06:00
43.8,Woodcroft,Relative Humidity,2026-07-16T22:00:00-06:00
0.005,Woodcroft,Nitrogen Dioxide,2026-07-16T22:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T22:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T22:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T22:00:00-06:00
,Woodcroft,,2026-07-16T22:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T21:00:00-06:00
27.2,Woodcroft,Outdoor Temperature,2026-07-16T21:00:00-06:00
0.046,Woodcroft,Ozone,2026-07-16T21:00:00-06:00
40.4,Woodcroft,Relative Humidity,2026-07-16T21:00:00-06:00
264.0,Woodcroft,Wind Direction,2026-07-16T21:00:00-06:00
7.0,Woodcroft,Wind Speed,2026-07-16T21:00:00-06:00
0.002,Woodcroft,Total Oxides of Nitrogen,2026-07-16T21:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T21:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T21:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T21:00:00-06:00
,Woodcroft,,2026-07-16T21:00:00-06:00
9.2,Woodcroft,Wind Speed,2026-07-16T20:00:00-06:00
262.0,Woodcroft,Wind Direction,2026-07-16T20:00:00-06:00
27.8,Woodcroft,Outdoor Temperature,2026-07-16T20:00:00-06:00
0.046,Woodcroft,Ozone,2026-07-16T20:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T20:00:00-06:00
,Woodcroft,,2026-07-16T20:00:00-06:00
41.3,Woodcroft,Relative Humidity,2026-07-16T20:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T20:00:00-06:00
0.002,Woodcroft,Total Oxides of Nitrogen,2026-07-16T20:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T20:00:00-06:00
0.002,Woodcroft,Nitrogen Dioxide,2026-07-16T20:00:00-06:00
,Woodcroft,,2026-07-16T19:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T19:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T19:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T19:00:00-06:00
28.2,Woodcroft,Outdoor Temperature,2026-07-16T19:00:00-06:00
0.052,Woodcroft,Ozone,2026-07-16T19:00:00-06:00
8.1,Woodcroft,Wind Speed,2026-07-16T19:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T19:00:00-06:00
216.0,Woodcroft,Wind Direction,2026-07-16T19:00:00-06:00
0.003,Woodcroft,Total Oxides of Nitrogen,2026-07-16T19:00:00-06:00
37.2,Woodcroft,Relative Humidity,2026-07-16T19:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T18:00:00-06:00
,Woodcroft,,2026-07-16T18:00:00-06:00
0.056,Woodcroft,Ozone,2026-07-16T18:00:00-06:00
0.003,Woodcroft,Total Oxides of Nitrogen,2026-07-16T18:00:00-06:00
28.5,Woodcroft,Outdoor Temperature,2026-07-16T18:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T18:00:00-06:00
7.0,Woodcroft,Wind Speed,2026-07-16T18:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T18:00:00-06:00
34.4,Woodcroft,Relative Humidity,2026-07-16T18:00:00-06:00
204.0,Woodcroft,Wind Direction,2026-07-16T18:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T18:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T17:00:00-06:00
0.059,Woodcroft,Ozone,2026-07-16T17:00:00-06:00
144.0,Woodcroft,Wind Direction,2026-07-16T17:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T17:00:00-06:00
28.4,Woodcroft,Outdoor Temperature,2026-07-16T17:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T17:00:00-06:00
6.0,Woodcroft,Wind Speed,2026-07-16T17:00:00-06:00
0.003,Woodcroft,Total Oxides of Nitrogen,2026-07-16T17:00:00-06:00
34.7,Woodcroft,Relative Humidity,2026-07-16T17:00:00-06:00
,Woodcroft,,2026-07-16T17:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T17:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T16:00:00-06:00
0.002,Woodcroft,Nitrogen Dioxide,2026-07-16T16:00:00-06:00
,Woodcroft,,2026-07-16T16:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T16:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T16:00:00-06:00
5.3,Woodcroft,Wind Speed,2026-07-16T16:00:00-06:00
0.058,Woodcroft,Ozone,2026-07-16T16:00:00-06:00
28.1,Woodcroft,Outdoor Temperature,2026-07-16T16:00:00-06:00
157.0,Woodcroft,Wind Direction,2026-07-16T16:00:00-06:00
33.8,Woodcroft,Relative Humidity,2026-07-16T16:00:00-06:00
0.003,Woodcroft,Total Oxides of Nitrogen,2026-07-16T16:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T15:00:00-06:00
27.4,Woodcroft,Outdoor Temperature,2026-07-16T15:00:00-06:00
36.3,Woodcroft,Relative Humidity,2026-07-16T15:00:00-06:00
0.059,Woodcroft,Ozone,2026-07-16T15:00:00-06:00
221.0,Woodcroft,Wind Direction,2026-07-16T15:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T15:00:00-06:00
1.1,Woodcroft,Wind Speed,2026-07-16T15:00:00-06:00
0.003,Woodcroft,Total Oxides of Nitrogen,2026-07-16T15:00:00-06:00
,Woodcroft,,2026-07-16T15:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T15:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T15:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T14:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T14:00:00-06:00
26.2,Woodcroft,Outdoor Temperature,2026-07-16T14:00:00-06:00
0.004,Woodcroft,Total Oxides of Nitrogen,2026-07-16T14:00:00-06:00
0.055,Woodcroft,Ozone,2026-07-16T14:00:00-06:00
3.7,Woodcroft,Wind Speed,2026-07-16T14:00:00-06:00
41.5,Woodcroft,Relative Humidity,2026-07-16T14:00:00-06:00
174.0,Woodcroft,Wind Direction,2026-07-16T14:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T14:00:00-06:00
,Woodcroft,,2026-07-16T14:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T14:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T13:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T13:00:00-06:00
44.6,Woodcroft,Relative Humidity,2026-07-16T13:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T13:00:00-06:00
0.049,Woodcroft,Ozone,2026-07-16T13:00:00-06:00
210.0,Woodcroft,Wind Direction,2026-07-16T13:00:00-06:00
25.1,Woodcroft,Outdoor Temperature,2026-07-16T13:00:00-06:00
,Woodcroft,,2026-07-16T13:00:00-06:00
0.003,Woodcroft,Nitrogen Dioxide,2026-07-16T13:00:00-06:00
4.0,Woodcroft,Wind Speed,2026-07-16T13:00:00-06:00
0.004,Woodcroft,Total Oxides of Nitrogen,2026-07-16T13:00:00-06:00
23.8,Woodcroft,Outdoor Temperature,2026-07-16T12:00:00-06:00
0.005,Woodcroft,Total Oxides of Nitrogen,2026-07-16T12:00:00-06:00
5.2,Woodcroft,Wind Speed,2026-07-16T12:00:00-06:00
50.3,Woodcroft,Relative Humidity,2026-07-16T12:00:00-06:00
240.0,Woodcroft,Wind Direction,2026-07-16T12:00:00-06:00
0.004,Woodcroft,Nitrogen Dioxide,2026-07-16T12:00:00-06:00
0.042,Woodcroft,Ozone,2026-07-16T12:00:00-06:00
0.001,Woodcroft,Sulphur Dioxide,2026-07-16T12:00:00-06:00
0.001,Woodcroft,Nitric Oxide,2026-07-16T12:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T12:00:00-06:00
,Woodcroft,,2026-07-16T12:00:00-06:00
241.0,Woodcroft,Wind Direction,2026-07-16T11:00:00-06:00
57.0,Woodcroft,Relative Humidity,2026-07-16T11:00:00-06:00
0.001,Woodcroft,Nitric Oxide,2026-07-16T11:00:00-06:00
22.4,Woodcroft,Outdoor Temperature,2026-07-16T11:00:00-06:00
0.005,Woodcroft,Total Oxides of Nitrogen,2026-07-16T11:00:00-06:00
0.004,Woodcroft,Nitrogen Dioxide,2026-07-16T11:00:00-06:00
6.7,Woodcroft,Wind Speed,2026-07-16T11:00:00-06:00
0.035,Woodcroft,Ozone,2026-07-16T11:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T11:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T11:00:00-06:00
,Woodcroft,,2026-07-16T11:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T10:00:00-06:00
,Woodcroft,,2026-07-16T10:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T10:00:00-06:00
0.002,Woodcroft,Nitric Oxide,2026-07-16T10:00:00-06:00
21.0,Woodcroft,Outdoor Temperature,2026-07-16T10:00:00-06:00
0.029,Woodcroft,Ozone,2026-07-16T10:00:00-06:00
7.0,Woodcroft,Wind Speed,2026-07-16T10:00:00-06:00
0.005,Woodcroft,Nitrogen Dioxide,2026-07-16T10:00:00-06:00
0.007,Woodcroft,Total Oxides of Nitrogen,2026-07-16T10:00:00-06:00
215.0,Woodcroft,Wind Direction,2026-07-16T10:00:00-06:00
62.6,Woodcroft,Relative Humidity,2026-07-16T10:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T09:00:00-06:00
,Woodcroft,,2026-07-16T09:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T09:00:00-06:00
7.3,Woodcroft,Wind Speed,2026-07-16T09:00:00-06:00
68.8,Woodcroft,Relative Humidity,2026-07-16T09:00:00-06:00
0.007,Woodcroft,Total Oxides of Nitrogen,2026-07-16T09:00:00-06:00
209.0,Woodcroft,Wind Direction,2026-07-16T09:00:00-06:00
0.002,Woodcroft,Nitric Oxide,2026-07-16T09:00:00-06:00
0.005,Woodcroft,Nitrogen Dioxide,2026-07-16T09:00:00-06:00
0.025,Woodcroft,Ozone,2026-07-16T09:00:00-06:00
19.6,Woodcroft,Outdoor Temperature,2026-07-16T09:00:00-06:00
0.007,Woodcroft,Nitrogen Dioxide,2026-07-16T08:00:00-06:00
70.9,Woodcroft,Relative Humidity,2026-07-16T08:00:00-06:00
8.7,Woodcroft,Wind Speed,2026-07-16T08:00:00-06:00
0.009,Woodcroft,Total Oxides of Nitrogen,2026-07-16T08:00:00-06:00
190.0,Woodcroft,Wind Direction,2026-07-16T08:00:00-06:00
18.4,Woodcroft,Outdoor Temperature,2026-07-16T08:00:00-06:00
0.021,Woodcroft,Ozone,2026-07-16T08:00:00-06:00
0.002,Woodcroft,Nitric Oxide,2026-07-16T08:00:00-06:00
,Woodcroft,,2026-07-16T08:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T08:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T08:00:00-06:00
0.028,Woodcroft,Ozone,2026-07-16T07:00:00-06:00
17.4,Woodcroft,Outdoor Temperature,2026-07-16T07:00:00-06:00
5.5,Woodcroft,Wind Speed,2026-07-16T07:00:00-06:00
0.009,Woodcroft,Nitrogen Dioxide,2026-07-16T07:00:00-06:00
64.0,Woodcroft,Relative Humidity,2026-07-16T07:00:00-06:00
0.009,Woodcroft,Total Oxides of Nitrogen,2026-07-16T07:00:00-06:00
164.0,Woodcroft,Wind Direction,2026-07-16T07:00:00-06:00
0.001,Woodcroft,Nitric Oxide,2026-07-16T07:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T07:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T07:00:00-06:00
,Woodcroft,,2026-07-16T07:00:00-06:00
0.004,Woodcroft,Nitrogen Dioxide,2026-07-16T06:00:00-06:00
3.2,Woodcroft,Wind Speed,2026-07-16T06:00:00-06:00
0.037,Woodcroft,Ozone,2026-07-16T06:00:00-06:00
17.9,Woodcroft,Outdoor Temperature,2026-07-16T06:00:00-06:00
355.0,Woodcroft,Wind Direction,2026-07-16T06:00:00-06:00
0.004,Woodcroft,Total Oxides of Nitrogen,2026-07-16T06:00:00-06:00
58.9,Woodcroft,Relative Humidity,2026-07-16T06:00:00-06:00
0.0,Woodcroft,Nitric Oxide,2026-07-16T06:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T06:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T06:00:00-06:00
,Woodcroft,,2026-07-16T06:00:00-06:00
323.0,Woodcroft,Wind Direction,2026-07-16T05:00:00-06:00
9.7,Woodcroft,Wind Speed,2026-07-16T05:00:00-06:00
58.4,Woodcroft,Relative Humidity,2026-07-16T05:00:00-06:00
18.8,Woodcroft,Outdoor Temperature,2026-07-16T05:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T05:00:00-06:00
,Woodcroft,,2026-07-16T05:00:00-06:00
,Woodcroft,Nitric Oxide,2026-07-16T05:00:00-06:00
,Woodcroft,Sulphur Dioxide,2026-07-16T05:00:00-06:00
,Woodcroft,Ozone,2026-07-16T05:00:00-06:00
,Woodcroft,Nitrogen Dioxide,2026-07-16T05:00:00-06:00
,Woodcroft,Total Oxides of Nitrogen,2026-07-16T05:00:00-06:00
305.0,Woodcroft,Wind Direction,2026-07-16T04:00:00-06:00
6.5,Woodcroft,Wind Speed,2026-07-16T04:00:00-06:00
0.0,Woodcroft,Sulphur Dioxide,2026-07-16T04:00:00-06:00
19.2,Woodcroft,Outdoor Temperature,2026-07-16T04:00:00-06:00
64.6,Woodcroft,Relative Humidity,2026-07-16T04:00:00-06:00
0.011,Woodcroft,Total Oxides of Nitrogen,2026-07-16T04:00:00-06:00
,Woodcroft,Fine Particulate Matter,2026-07-16T04:00:00-06:00
