StationName,ParameterName,ReadingDate,Value,Zone
Woodcroft,,2025-05-20T07:00:00-06:00,2.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T07:00:00-06:00,11.5,ACA
Woodcroft,Wind Direction,2025-05-20T07:00:00-06:00,91.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-20T07:00:00-06:00,0.012,ACA
Woodcroft,Nitric Oxide,2025-05-20T07:00:00-06:00,0.001,ACA
Woodcroft,Ozone,2025-05-20T07:00:00-06:00,0.005,ACA
Woodcroft,Relative Humidity,2025-05-20T07:00:00-06:00,86.3,ACA
Woodcroft,Sulphur Dioxide,2025-05-20T07:00:00-06:00,0.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-20T07:00:00-06:00,0.011,ACA
Woodcroft,Wind Speed,2025-05-20T07:00:00-06:00,1.9,ACA
Woodcroft,Outdoor Temperature,2025-05-20T07:00:00-06:00,7.7,ACA
Woodcroft,,2025-05-20T06:00:00-06:00,2.0,ACA
Woodcroft,Nitric Oxide,2025-05-20T06:00:00-06:00,0.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-20T06:00:00-06:00,0.007,ACA
Woodcroft,Wind Speed,2025-05-20T06:00:00-06:00,4.2,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T06:00:00-06:00,11.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-20T06:00:00-06:00,0.0,ACA
Woodcroft,Ozone,2025-05-20T06:00:00-06:00,0.01,ACA
Woodcroft,Nitrogen Dioxide,2025-05-20T06:00:00-06:00,0.007,ACA
Woodcroft,Outdoor Temperature,2025-05-20T06:00:00-06:00,7.7,ACA
Woodcroft,Relative Humidity,2025-05-20T06:00:00-06:00,85.8,ACA
Woodcroft,Wind Direction,2025-05-20T06:00:00-06:00,93.0,ACA
Woodcroft,Relative Humidity,2025-05-20T05:00:00-06:00,85.4,ACA
Woodcroft,Nitric Oxide,2025-05-20T05:00:00-06:00,,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-20T05:00:00-06:00,,ACA
Woodcroft,Ozone,2025-05-20T05:00:00-06:00,,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T05:00:00-06:00,9.5,ACA
Woodcroft,Outdoor Temperature,2025-05-20T05:00:00-06:00,7.7,ACA
Woodcroft,Sulphur Dioxide,2025-05-20T05:00:00-06:00,,ACA
Woodcroft,Wind Direction,2025-05-20T05:00:00-06:00,95.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-20T05:00:00-06:00,,ACA
Woodcroft,Wind Speed,2025-05-20T05:00:00-06:00,2.7,ACA
Woodcroft,,2025-05-20T05:00:00-06:00,1.0,ACA
Woodcroft,,2025-05-20T04:00:00-06:00,1.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T04:00:00-06:00,8.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-20T04:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-20T04:00:00-06:00,7.7,ACA
Woodcroft,Wind Direction,2025-05-20T04:00:00-06:00,128.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-20T04:00:00-06:00,0.005,ACA
Woodcroft,Nitric Oxide,2025-05-20T04:00:00-06:00,0.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-20T04:00:00-06:00,0.005,ACA
Woodcroft,Relative Humidity,2025-05-20T04:00:00-06:00,85.5,ACA
Woodcroft,Wind Speed,2025-05-20T04:00:00-06:00,3.9,ACA
Woodcroft,Ozone,2025-05-20T04:00:00-06:00,0.013,ACA
Woodcroft,,2025-05-20T03:00:00-06:00,1.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T03:00:00-06:00,8.1,ACA
