Value,StationName,ParameterName,ReadingDate
0.044,Breton,Ozone,2026-04-24T14:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T14:00:00-06:00
38.2,Breton,Wind Speed,2026-04-24T14:00:00-06:00
59.1,Breton,Relative Humidity,2026-04-24T14:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T14:00:00-06:00
0.001,Breton,Nitrogen Dioxide,2026-04-24T14:00:00-06:00
-0.1,Breton,Outdoor Temperature,2026-04-24T14:00:00-06:00
338.0,Breton,Wind Direction,2026-04-24T14:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T14:00:00-06:00
0.044,Breton,Ozone,2026-04-24T13:00:00-06:00
-1.1,Breton,Outdoor Temperature,2026-04-24T13:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T13:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T13:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T13:00:00-06:00
64.9,Breton,Relative Humidity,2026-04-24T13:00:00-06:00
37.4,Breton,Wind Speed,2026-04-24T13:00:00-06:00
330.0,Breton,Wind Direction,2026-04-24T13:00:00-06:00
0.001,Breton,Nitrogen Dioxide,2026-04-24T13:00:00-06:00
0.001,Breton,Nitrogen Dioxide,2026-04-24T12:00:00-06:00
333.0,Breton,Wind Direction,2026-04-24T12:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T12:00:00-06:00
70.2,Breton,Relative Humidity,2026-04-24T12:00:00-06:00
0.042,Breton,Ozone,2026-04-24T12:00:00-06:00
34.1,Breton,Wind Speed,2026-04-24T12:00:00-06:00
-2.1,Breton,Outdoor Temperature,2026-04-24T12:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T12:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T12:00:00-06:00
0.001,Breton,Nitrogen Dioxide,2026-04-24T11:00:00-06:00
0.04,Breton,Ozone,2026-04-24T11:00:00-06:00
0.001,Breton,Total Oxides of Nitrogen,2026-04-24T11:00:00-06:00
74.7,Breton,Relative Humidity,2026-04-24T11:00:00-06:00
32.5,Breton,Wind Speed,2026-04-24T11:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T11:00:00-06:00
328.0,Breton,Wind Direction,2026-04-24T11:00:00-06:00
-3.3,Breton,Outdoor Temperature,2026-04-24T11:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T11:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T10:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T10:00:00-06:00
328.0,Breton,Wind Direction,2026-04-24T10:00:00-06:00
-3.1,Breton,Outdoor Temperature,2026-04-24T10:00:00-06:00
34.9,Breton,Wind Speed,2026-04-24T10:00:00-06:00
66.4,Breton,Relative Humidity,2026-04-24T10:00:00-06:00
0.04,Breton,Ozone,2026-04-24T10:00:00-06:00
0.001,Breton,Nitrogen Dioxide,2026-04-24T10:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T10:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T09:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T09:00:00-06:00
0.04,Breton,Ozone,2026-04-24T09:00:00-06:00
0.0,Breton,Nitrogen Dioxide,2026-04-24T09:00:00-06:00
-3.1,Breton,Outdoor Temperature,2026-04-24T09:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T09:00:00-06:00
62.7,Breton,Relative Humidity,2026-04-24T09:00:00-06:00
332.0,Breton,Wind Direction,2026-04-24T09:00:00-06:00
37.6,Breton,Wind Speed,2026-04-24T09:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T08:00:00-06:00
51.2,Breton,Relative Humidity,2026-04-24T08:00:00-06:00
330.0,Breton,Wind Direction,2026-04-24T08:00:00-06:00
34.2,Breton,Wind Speed,2026-04-24T08:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T08:00:00-06:00
0.039,Breton,Ozone,2026-04-24T08:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T08:00:00-06:00
-2.4,Breton,Outdoor Temperature,2026-04-24T08:00:00-06:00
0.001,Breton,Nitrogen Dioxide,2026-04-24T08:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T07:00:00-06:00
0.0,Breton,Nitrogen Dioxide,2026-04-24T07:00:00-06:00
329.0,Breton,Wind Direction,2026-04-24T07:00:00-06:00
35.5,Breton,Wind Speed,2026-04-24T07:00:00-06:00
-2.4,Breton,Outdoor Temperature,2026-04-24T07:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T07:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T07:00:00-06:00
50.4,Breton,Relative Humidity,2026-04-24T07:00:00-06:00
0.039,Breton,Ozone,2026-04-24T07:00:00-06:00
331.0,Breton,Wind Direction,2026-04-24T06:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T06:00:00-06:00
34.0,Breton,Wind Speed,2026-04-24T06:00:00-06:00
0.0,Breton,Nitrogen Dioxide,2026-04-24T06:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T06:00:00-06:00
0.039,Breton,Ozone,2026-04-24T06:00:00-06:00
-2.2,Breton,Outdoor Temperature,2026-04-24T06:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T06:00:00-06:00
49.0,Breton,Relative Humidity,2026-04-24T06:00:00-06:00
,Breton,Sulphur Dioxide,2026-04-24T05:00:00-06:00
,Breton,Nitrogen Dioxide,2026-04-24T05:00:00-06:00
,Breton,Ozone,2026-04-24T05:00:00-06:00
335.0,Breton,Wind Direction,2026-04-24T05:00:00-06:00
-1.6,Breton,Outdoor Temperature,2026-04-24T05:00:00-06:00
,Breton,Total Oxides of Nitrogen,2026-04-24T05:00:00-06:00
30.5,Breton,Wind Speed,2026-04-24T05:00:00-06:00
,Breton,Nitric Oxide,2026-04-24T05:00:00-06:00
45.5,Breton,Relative Humidity,2026-04-24T05:00:00-06:00
334.0,Breton,Wind Direction,2026-04-24T04:00:00-06:00
43.9,Breton,Relative Humidity,2026-04-24T04:00:00-06:00
31.9,Breton,Wind Speed,2026-04-24T04:00:00-06:00
-1.1,Breton,Outdoor Temperature,2026-04-24T04:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T04:00:00-06:00
0.0,Breton,Total Oxides of Nitrogen,2026-04-24T04:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T04:00:00-06:00
0.038,Breton,Ozone,2026-04-24T04:00:00-06:00
0.0,Breton,Nitrogen Dioxide,2026-04-24T04:00:00-06:00
0.0,Breton,Nitric Oxide,2026-04-24T03:00:00-06:00
0.0,Breton,Nitrogen Dioxide,2026-04-24T03:00:00-06:00
333.0,Breton,Wind Direction,2026-04-24T03:00:00-06:00
0.0,Breton,Sulphur Dioxide,2026-04-24T03:00:00-06:00
-0.5,Breton,Outdoor Temperature,2026-04-24T03:00:00-06:00
41.5,Breton,Relative Humidity,2026-04-24T03:00:00-06:00
