Value,StationName,ParameterName,ReadingDate
0.0,Drayton Valley,Total Oxides of Nitrogen,2026-04-04T04:00:00-06:00
74.3,Drayton Valley,Relative Humidity,2026-04-04T04:00:00-06:00
0.0,Drayton Valley,Sulphur Dioxide,2026-04-04T04:00:00-06:00
12.4,Drayton Valley,Wind Speed,2026-04-04T04:00:00-06:00
2.0,Drayton Valley,,2026-04-04T04:00:00-06:00
0.002,Drayton Valley,Nitrogen Dioxide,2026-04-04T04:00:00-06:00
318.0,Drayton Valley,Wind Direction,2026-04-04T04:00:00-06:00
2.7,Drayton Valley,Fine Particulate Matter,2026-04-04T04:00:00-06:00
0.0,Drayton Valley,Nitric Oxide,2026-04-04T04:00:00-06:00
0.033,Drayton Valley,Ozone,2026-04-04T04:00:00-06:00
1.9,Drayton Valley,Outdoor Temperature,2026-04-04T04:00:00-06:00
2.0,Drayton Valley,,2026-04-04T03:00:00-06:00
0.026,Drayton Valley,Ozone,2026-04-04T03:00:00-06:00
11.4,Drayton Valley,Wind Speed,2026-04-04T03:00:00-06:00
307.0,Drayton Valley,Wind Direction,2026-04-04T03:00:00-06:00
1.6,Drayton Valley,Outdoor Temperature,2026-04-04T03:00:00-06:00
0.008,Drayton Valley,Nitrogen Dioxide,2026-04-04T03:00:00-06:00
71.9,Drayton Valley,Relative Humidity,2026-04-04T03:00:00-06:00
4.0,Drayton Valley,Fine Particulate Matter,2026-04-04T03:00:00-06:00
0.006,Drayton Valley,Total Oxides of Nitrogen,2026-04-04T03:00:00-06:00
0.0,Drayton Valley,Nitric Oxide,2026-04-04T03:00:00-06:00
0.0,Drayton Valley,Sulphur Dioxide,2026-04-04T03:00:00-06:00
4.1,Drayton Valley,Wind Speed,2026-04-04T02:00:00-06:00
0.0,Drayton Valley,Sulphur Dioxide,2026-04-04T02:00:00-06:00
0.008,Drayton Valley,Nitrogen Dioxide,2026-04-04T02:00:00-06:00
1.3,Drayton Valley,Outdoor Temperature,2026-04-04T02:00:00-06:00
0.028,Drayton Valley,Ozone,2026-04-04T02:00:00-06:00
178.0,Drayton Valley,Wind Direction,2026-04-04T02:00:00-06:00
0.007,Drayton Valley,Total Oxides of Nitrogen,2026-04-04T02:00:00-06:00
