Value,StationName,ParameterName,ReadingDate
3.0,Edson,,2026-01-28T19:00:00-07:00
0.0,Edson,Sulphur Dioxide,2026-01-28T19:00:00-07:00
0.0,Edson,Nitric Oxide,2026-01-28T19:00:00-07:00
28.5,Edson,Fine Particulate Matter,2026-01-28T19:00:00-07:00
0.012,Edson,Ozone,2026-01-28T19:00:00-07:00
2.6,Edson,Wind Speed,2026-01-28T19:00:00-07:00
68.7,Edson,Relative Humidity,2026-01-28T19:00:00-07:00
0.012,Edson,Total Oxides of Nitrogen,2026-01-28T19:00:00-07:00
39.0,Edson,Wind Direction,2026-01-28T19:00:00-07:00
0.014,Edson,Nitrogen Dioxide,2026-01-28T19:00:00-07:00
-2.5,Edson,Outdoor Temperature,2026-01-28T19:00:00-07:00
33.0,Edson,Wind Direction,2026-01-28T18:00:00-07:00
3.0,Edson,,2026-01-28T18:00:00-07:00
25.2,Edson,Fine Particulate Matter,2026-01-28T18:00:00-07:00
0.022,Edson,Nitrogen Dioxide,2026-01-28T18:00:00-07:00
0.026,Edson,Total Oxides of Nitrogen,2026-01-28T18:00:00-07:00
0.007,Edson,Ozone,2026-01-28T18:00:00-07:00
0.004,Edson,Nitric Oxide,2026-01-28T18:00:00-07:00
6.9,Edson,Wind Speed,2026-01-28T18:00:00-07:00
63.8,Edson,Relative Humidity,2026-01-28T18:00:00-07:00
0.0,Edson,Sulphur Dioxide,2026-01-28T18:00:00-07:00
-0.5,Edson,Outdoor Temperature,2026-01-28T18:00:00-07:00
0.0,Edson,Sulphur Dioxide,2026-01-28T17:00:00-07:00
0.8,Edson,Outdoor Temperature,2026-01-28T17:00:00-07:00
64.0,Edson,Wind Direction,2026-01-28T17:00:00-07:00
0.011,Edson,Nitric Oxide,2026-01-28T17:00:00-07:00
0.021,Edson,Nitrogen Dioxide,2026-01-28T17:00:00-07:00
0.032,Edson,Total Oxides of Nitrogen,2026-01-28T17:00:00-07:00
0.008,Edson,Ozone,2026-01-28T17:00:00-07:00
25.5,Edson,Fine Particulate Matter,2026-01-28T17:00:00-07:00
2.9,Edson,Wind Speed,2026-01-28T17:00:00-07:00
59.0,Edson,Relative Humidity,2026-01-28T17:00:00-07:00
3.0,Edson,,2026-01-28T17:00:00-07:00
0.013,Edson,Nitrogen Dioxide,2026-01-28T16:00:00-07:00
0.007,Edson,Nitric Oxide,2026-01-28T16:00:00-07:00
42.0,Edson,Wind Direction,2026-01-28T16:00:00-07:00
0.0,Edson,Sulphur Dioxide,2026-01-28T16:00:00-07:00
0.02,Edson,Total Oxides of Nitrogen,2026-01-28T16:00:00-07:00
1.8,Edson,Wind Speed,2026-01-28T16:00:00-07:00
59.7,Edson,Relative Humidity,2026-01-28T16:00:00-07:00
