Value,StationName,ParameterName,ReadingDate
0.001,Genesee,Sulphur Dioxide,2026-02-21T13:00:00-07:00
3.0,Genesee,,2026-02-21T13:00:00-07:00
0.014,Genesee,Total Oxides of Nitrogen,2026-02-21T13:00:00-07:00
16.9,Genesee,Fine Particulate Matter,2026-02-21T13:00:00-07:00
-13.8,Genesee,Outdoor Temperature,2026-02-21T13:00:00-07:00
0.006,Genesee,Nitrogen Dioxide,2026-02-21T13:00:00-07:00
0.026,Genesee,Ozone,2026-02-21T13:00:00-07:00
4.6,Genesee,Wind Speed,2026-02-21T13:00:00-07:00
15.0,Genesee,Wind Direction,2026-02-21T13:00:00-07:00
0.007,Genesee,Nitric Oxide,2026-02-21T13:00:00-07:00
83.0,Genesee,Relative Humidity,2026-02-21T13:00:00-07:00
6.4,Genesee,Wind Speed,2026-02-21T12:00:00-07:00
0.024,Genesee,Ozone,2026-02-21T12:00:00-07:00
19.5,Genesee,Fine Particulate Matter,2026-02-21T12:00:00-07:00
0.019,Genesee,Total Oxides of Nitrogen,2026-02-21T12:00:00-07:00
336.0,Genesee,Wind Direction,2026-02-21T12:00:00-07:00
-16.4,Genesee,Outdoor Temperature,2026-02-21T12:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T12:00:00-07:00
0.008,Genesee,Nitrogen Dioxide,2026-02-21T12:00:00-07:00
0.01,Genesee,Nitric Oxide,2026-02-21T12:00:00-07:00
81.9,Genesee,Relative Humidity,2026-02-21T12:00:00-07:00
3.0,Genesee,,2026-02-21T12:00:00-07:00
315.0,Genesee,Wind Direction,2026-02-21T11:00:00-07:00
-18.6,Genesee,Outdoor Temperature,2026-02-21T11:00:00-07:00
0.011,Genesee,Nitrogen Dioxide,2026-02-21T11:00:00-07:00
0.016,Genesee,Nitric Oxide,2026-02-21T11:00:00-07:00
6.2,Genesee,Wind Speed,2026-02-21T11:00:00-07:00
0.021,Genesee,Ozone,2026-02-21T11:00:00-07:00
0.027,Genesee,Total Oxides of Nitrogen,2026-02-21T11:00:00-07:00
18.5,Genesee,Fine Particulate Matter,2026-02-21T11:00:00-07:00
80.7,Genesee,Relative Humidity,2026-02-21T11:00:00-07:00
3.0,Genesee,,2026-02-21T11:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T11:00:00-07:00
0.013,Genesee,Nitrogen Dioxide,2026-02-21T10:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T10:00:00-07:00
305.0,Genesee,Wind Direction,2026-02-21T10:00:00-07:00
0.027,Genesee,Total Oxides of Nitrogen,2026-02-21T10:00:00-07:00
-20.8,Genesee,Outdoor Temperature,2026-02-21T10:00:00-07:00
1.9,Genesee,Wind Speed,2026-02-21T10:00:00-07:00
0.014,Genesee,Nitric Oxide,2026-02-21T10:00:00-07:00
0.018,Genesee,Ozone,2026-02-21T10:00:00-07:00
80.0,Genesee,Relative Humidity,2026-02-21T10:00:00-07:00
17.2,Genesee,Fine Particulate Matter,2026-02-21T10:00:00-07:00
3.0,Genesee,,2026-02-21T10:00:00-07:00
3.0,Genesee,,2026-02-21T09:00:00-07:00
0.018,Genesee,Nitrogen Dioxide,2026-02-21T09:00:00-07:00
16.0,Genesee,Fine Particulate Matter,2026-02-21T09:00:00-07:00
4.3,Genesee,Wind Speed,2026-02-21T09:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T09:00:00-07:00
0.015,Genesee,Ozone,2026-02-21T09:00:00-07:00
322.0,Genesee,Wind Direction,2026-02-21T09:00:00-07:00
0.01,Genesee,Nitric Oxide,2026-02-21T09:00:00-07:00
0.028,Genesee,Total Oxides of Nitrogen,2026-02-21T09:00:00-07:00
79.5,Genesee,Relative Humidity,2026-02-21T09:00:00-07:00
-22.5,Genesee,Outdoor Temperature,2026-02-21T09:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T08:00:00-07:00
0.013,Genesee,Nitrogen Dioxide,2026-02-21T08:00:00-07:00
80.6,Genesee,Relative Humidity,2026-02-21T08:00:00-07:00
13.9,Genesee,Fine Particulate Matter,2026-02-21T08:00:00-07:00
5.2,Genesee,Wind Speed,2026-02-21T08:00:00-07:00
-23.5,Genesee,Outdoor Temperature,2026-02-21T08:00:00-07:00
0.019,Genesee,Ozone,2026-02-21T08:00:00-07:00
323.0,Genesee,Wind Direction,2026-02-21T08:00:00-07:00
0.0,Genesee,Nitric Oxide,2026-02-21T08:00:00-07:00
0.013,Genesee,Total Oxides of Nitrogen,2026-02-21T08:00:00-07:00
3.0,Genesee,,2026-02-21T08:00:00-07:00
3.0,Genesee,,2026-02-21T07:00:00-07:00
0.001,Genesee,Sulphur Dioxide,2026-02-21T07:00:00-07:00
0.022,Genesee,Ozone,2026-02-21T07:00:00-07:00
-23.9,Genesee,Outdoor Temperature,2026-02-21T07:00:00-07:00
0.01,Genesee,Nitrogen Dioxide,2026-02-21T07:00:00-07:00
0.0,Genesee,Nitric Oxide,2026-02-21T07:00:00-07:00
4.1,Genesee,Wind Speed,2026-02-21T07:00:00-07:00
0.01,Genesee,Total Oxides of Nitrogen,2026-02-21T07:00:00-07:00
12.7,Genesee,Fine Particulate Matter,2026-02-21T07:00:00-07:00
81.1,Genesee,Relative Humidity,2026-02-21T07:00:00-07:00
340.0,Genesee,Wind Direction,2026-02-21T07:00:00-07:00
340.0,Genesee,Wind Direction,2026-02-21T06:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T06:00:00-07:00
0.0,Genesee,Nitric Oxide,2026-02-21T06:00:00-07:00
-24.4,Genesee,Outdoor Temperature,2026-02-21T06:00:00-07:00
81.5,Genesee,Relative Humidity,2026-02-21T06:00:00-07:00
6.1,Genesee,Wind Speed,2026-02-21T06:00:00-07:00
12.8,Genesee,Fine Particulate Matter,2026-02-21T06:00:00-07:00
0.009,Genesee,Total Oxides of Nitrogen,2026-02-21T06:00:00-07:00
0.023,Genesee,Ozone,2026-02-21T06:00:00-07:00
0.009,Genesee,Nitrogen Dioxide,2026-02-21T06:00:00-07:00
3.0,Genesee,,2026-02-21T06:00:00-07:00
0.008,Genesee,Nitrogen Dioxide,2026-02-21T05:00:00-07:00
-24.0,Genesee,Outdoor Temperature,2026-02-21T05:00:00-07:00
6.9,Genesee,Wind Speed,2026-02-21T05:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T05:00:00-07:00
83.0,Genesee,Relative Humidity,2026-02-21T05:00:00-07:00
0.0,Genesee,Nitric Oxide,2026-02-21T05:00:00-07:00
12.6,Genesee,Fine Particulate Matter,2026-02-21T05:00:00-07:00
0.007,Genesee,Total Oxides of Nitrogen,2026-02-21T05:00:00-07:00
345.0,Genesee,Wind Direction,2026-02-21T05:00:00-07:00
0.025,Genesee,Ozone,2026-02-21T05:00:00-07:00
3.0,Genesee,,2026-02-21T05:00:00-07:00
,Genesee,Nitric Oxide,2026-02-21T04:00:00-07:00
358.0,Genesee,Wind Direction,2026-02-21T04:00:00-07:00
,Genesee,Sulphur Dioxide,2026-02-21T04:00:00-07:00
12.8,Genesee,Fine Particulate Matter,2026-02-21T04:00:00-07:00
,Genesee,Ozone,2026-02-21T04:00:00-07:00
4.7,Genesee,Wind Speed,2026-02-21T04:00:00-07:00
,Genesee,Total Oxides of Nitrogen,2026-02-21T04:00:00-07:00
-23.5,Genesee,Outdoor Temperature,2026-02-21T04:00:00-07:00
,Genesee,Nitrogen Dioxide,2026-02-21T04:00:00-07:00
83.9,Genesee,Relative Humidity,2026-02-21T04:00:00-07:00
2.0,Genesee,,2026-02-21T04:00:00-07:00
3.0,Genesee,,2026-02-21T03:00:00-07:00
84.5,Genesee,Relative Humidity,2026-02-21T03:00:00-07:00
0.0,Genesee,Nitric Oxide,2026-02-21T03:00:00-07:00
11.1,Genesee,Fine Particulate Matter,2026-02-21T03:00:00-07:00
0.007,Genesee,Nitrogen Dioxide,2026-02-21T03:00:00-07:00
-23.6,Genesee,Outdoor Temperature,2026-02-21T03:00:00-07:00
0.0,Genesee,Sulphur Dioxide,2026-02-21T03:00:00-07:00
16.0,Genesee,Wind Direction,2026-02-21T03:00:00-07:00
0.026,Genesee,Ozone,2026-02-21T03:00:00-07:00
5.1,Genesee,Wind Speed,2026-02-21T03:00:00-07:00
0.006,Genesee,Total Oxides of Nitrogen,2026-02-21T03:00:00-07:00
3.0,Genesee,,2026-02-21T02:00:00-07:00
0.027,Genesee,Ozone,2026-02-21T02:00:00-07:00
0.0,Genesee,Nitric Oxide,2026-02-21T02:00:00-07:00
