Value,StationName,ParameterName,ReadingDate
,Hinton-Drinnan,Ozone,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Relative Humidity,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Nitric Oxide,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Wind Speed,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Wind Direction,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Outdoor Temperature,2026-01-20T15:00:00-07:00
,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T15:00:00-07:00
2.0,Hinton-Drinnan,,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Outdoor Temperature,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Relative Humidity,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Nitric Oxide,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Ozone,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Wind Direction,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Wind Speed,2026-01-20T14:00:00-07:00
,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T14:00:00-07:00
0.8,Hinton-Drinnan,Outdoor Temperature,2026-01-20T13:00:00-07:00
0.0,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T13:00:00-07:00
0.037,Hinton-Drinnan,Ozone,2026-01-20T13:00:00-07:00
10.0,Hinton-Drinnan,Wind Speed,2026-01-20T13:00:00-07:00
2.0,Hinton-Drinnan,,2026-01-20T13:00:00-07:00
4.1,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T13:00:00-07:00
0.001,Hinton-Drinnan,Nitric Oxide,2026-01-20T13:00:00-07:00
0.003,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T13:00:00-07:00
216.0,Hinton-Drinnan,Wind Direction,2026-01-20T13:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T13:00:00-07:00
42.1,Hinton-Drinnan,Relative Humidity,2026-01-20T13:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T13:00:00-07:00
0.002,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T13:00:00-07:00
2.0,Hinton-Drinnan,,2026-01-20T12:00:00-07:00
0.5,Hinton-Drinnan,Outdoor Temperature,2026-01-20T12:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T12:00:00-07:00
232.0,Hinton-Drinnan,Wind Direction,2026-01-20T12:00:00-07:00
4.3,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T12:00:00-07:00
0.01,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T12:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T12:00:00-07:00
45.3,Hinton-Drinnan,Relative Humidity,2026-01-20T12:00:00-07:00
0.031,Hinton-Drinnan,Ozone,2026-01-20T12:00:00-07:00
5.3,Hinton-Drinnan,Wind Speed,2026-01-20T12:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T12:00:00-07:00
0.008,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T12:00:00-07:00
0.002,Hinton-Drinnan,Nitric Oxide,2026-01-20T12:00:00-07:00
3.0,Hinton-Drinnan,,2026-01-20T11:00:00-07:00
4.5,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T11:00:00-07:00
0.009,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T11:00:00-07:00
0.002,Hinton-Drinnan,Nitric Oxide,2026-01-20T11:00:00-07:00
1.9,Hinton-Drinnan,Wind Speed,2026-01-20T11:00:00-07:00
-0.8,Hinton-Drinnan,Outdoor Temperature,2026-01-20T11:00:00-07:00
0.032,Hinton-Drinnan,Ozone,2026-01-20T11:00:00-07:00
243.0,Hinton-Drinnan,Wind Direction,2026-01-20T11:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T11:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T11:00:00-07:00
49.4,Hinton-Drinnan,Relative Humidity,2026-01-20T11:00:00-07:00
0.007,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T11:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T11:00:00-07:00
0.012,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T10:00:00-07:00
56.4,Hinton-Drinnan,Relative Humidity,2026-01-20T10:00:00-07:00
5.1,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T10:00:00-07:00
-2.7,Hinton-Drinnan,Outdoor Temperature,2026-01-20T10:00:00-07:00
0.003,Hinton-Drinnan,Nitric Oxide,2026-01-20T10:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T10:00:00-07:00
236.0,Hinton-Drinnan,Wind Direction,2026-01-20T10:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T10:00:00-07:00
1.0,Hinton-Drinnan,Wind Speed,2026-01-20T10:00:00-07:00
0.028,Hinton-Drinnan,Ozone,2026-01-20T10:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T10:00:00-07:00
0.01,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T10:00:00-07:00
3.0,Hinton-Drinnan,,2026-01-20T10:00:00-07:00
3.0,Hinton-Drinnan,,2026-01-20T09:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T09:00:00-07:00
4.8,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T09:00:00-07:00
0.031,Hinton-Drinnan,Ozone,2026-01-20T09:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T09:00:00-07:00
-1.8,Hinton-Drinnan,Outdoor Temperature,2026-01-20T09:00:00-07:00
0.0,Hinton-Drinnan,Nitric Oxide,2026-01-20T09:00:00-07:00
