Value,StationName,ParameterName,ReadingDate
3.0,Hinton-Hillcrest,,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Nitric Oxide,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Total Oxides of Nitrogen,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Relative Humidity,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Total Reduced Sulphur,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Fine Particulate Matter,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Wind Direction,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Sulphur Dioxide,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Wind Speed,2026-02-06T17:00:00-07:00
,Hinton-Hillcrest,Ozone,2026-02-06T17:00:00-07:00
12.3,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T16:00:00-07:00
20.4,Hinton-Hillcrest,Wind Speed,2026-02-06T16:00:00-07:00
0.045,Hinton-Hillcrest,Ozone,2026-02-06T16:00:00-07:00
0.0,Hinton-Hillcrest,Nitric Oxide,2026-02-06T16:00:00-07:00
0.001,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T16:00:00-07:00
0.0,Hinton-Hillcrest,Total Reduced Sulphur,2026-02-06T16:00:00-07:00
2.3,Hinton-Hillcrest,Fine Particulate Matter,2026-02-06T16:00:00-07:00
228.0,Hinton-Hillcrest,Wind Direction,2026-02-06T16:00:00-07:00
0.0,Hinton-Hillcrest,Total Oxides of Nitrogen,2026-02-06T16:00:00-07:00
20.2,Hinton-Hillcrest,Relative Humidity,2026-02-06T16:00:00-07:00
0.0,Hinton-Hillcrest,Sulphur Dioxide,2026-02-06T16:00:00-07:00
3.0,Hinton-Hillcrest,,2026-02-06T16:00:00-07:00
0.0,Hinton-Hillcrest,Total Reduced Sulphur,2026-02-06T15:00:00-07:00
224.0,Hinton-Hillcrest,Wind Direction,2026-02-06T15:00:00-07:00
12.6,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T15:00:00-07:00
0.045,Hinton-Hillcrest,Ozone,2026-02-06T15:00:00-07:00
19.4,Hinton-Hillcrest,Wind Speed,2026-02-06T15:00:00-07:00
19.4,Hinton-Hillcrest,Relative Humidity,2026-02-06T15:00:00-07:00
0.001,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T15:00:00-07:00
2.0,Hinton-Hillcrest,Fine Particulate Matter,2026-02-06T15:00:00-07:00
0.0,Hinton-Hillcrest,Sulphur Dioxide,2026-02-06T15:00:00-07:00
0.0,Hinton-Hillcrest,Nitric Oxide,2026-02-06T15:00:00-07:00
0.0,Hinton-Hillcrest,Total Oxides of Nitrogen,2026-02-06T15:00:00-07:00
3.0,Hinton-Hillcrest,,2026-02-06T15:00:00-07:00
3.0,Hinton-Hillcrest,,2026-02-06T14:00:00-07:00
0.0,Hinton-Hillcrest,Sulphur Dioxide,2026-02-06T14:00:00-07:00
0.0,Hinton-Hillcrest,Total Oxides of Nitrogen,2026-02-06T14:00:00-07:00
25.1,Hinton-Hillcrest,Wind Speed,2026-02-06T14:00:00-07:00
12.5,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T14:00:00-07:00
231.0,Hinton-Hillcrest,Wind Direction,2026-02-06T14:00:00-07:00
0.0,Hinton-Hillcrest,Nitric Oxide,2026-02-06T14:00:00-07:00
0.0,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T14:00:00-07:00
0.046,Hinton-Hillcrest,Ozone,2026-02-06T14:00:00-07:00
3.3,Hinton-Hillcrest,Fine Particulate Matter,2026-02-06T14:00:00-07:00
18.6,Hinton-Hillcrest,Relative Humidity,2026-02-06T14:00:00-07:00
0.0,Hinton-Hillcrest,Total Reduced Sulphur,2026-02-06T14:00:00-07:00
0.0,Hinton-Hillcrest,Nitric Oxide,2026-02-06T13:00:00-07:00
21.6,Hinton-Hillcrest,Relative Humidity,2026-02-06T13:00:00-07:00
215.0,Hinton-Hillcrest,Wind Direction,2026-02-06T13:00:00-07:00
2.0,Hinton-Hillcrest,,2026-02-06T13:00:00-07:00
16.8,Hinton-Hillcrest,Wind Speed,2026-02-06T13:00:00-07:00
0.0,Hinton-Hillcrest,Sulphur Dioxide,2026-02-06T13:00:00-07:00
0.045,Hinton-Hillcrest,Ozone,2026-02-06T13:00:00-07:00
0.0,Hinton-Hillcrest,Total Reduced Sulphur,2026-02-06T13:00:00-07:00
0.001,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T13:00:00-07:00
10.1,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T13:00:00-07:00
0.0,Hinton-Hillcrest,Total Oxides of Nitrogen,2026-02-06T13:00:00-07:00
2.0,Hinton-Hillcrest,Fine Particulate Matter,2026-02-06T13:00:00-07:00
0.001,Hinton-Hillcrest,Total Oxides of Nitrogen,2026-02-06T12:00:00-07:00
26.4,Hinton-Hillcrest,Relative Humidity,2026-02-06T12:00:00-07:00
7.5,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T12:00:00-07:00
0.001,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T12:00:00-07:00
2.4,Hinton-Hillcrest,Fine Particulate Matter,2026-02-06T12:00:00-07:00
0.043,Hinton-Hillcrest,Ozone,2026-02-06T12:00:00-07:00
0.0,Hinton-Hillcrest,Total Reduced Sulphur,2026-02-06T12:00:00-07:00
0.0,Hinton-Hillcrest,Nitric Oxide,2026-02-06T12:00:00-07:00
196.0,Hinton-Hillcrest,Wind Direction,2026-02-06T12:00:00-07:00
0.0,Hinton-Hillcrest,Sulphur Dioxide,2026-02-06T12:00:00-07:00
20.7,Hinton-Hillcrest,Wind Speed,2026-02-06T12:00:00-07:00
2.0,Hinton-Hillcrest,,2026-02-06T12:00:00-07:00
0.001,Hinton-Hillcrest,Nitrogen Dioxide,2026-02-06T11:00:00-07:00
4.9,Hinton-Hillcrest,Outdoor Temperature,2026-02-06T11:00:00-07:00
33.3,Hinton-Hillcrest,Relative Humidity,2026-02-06T11:00:00-07:00
14.0,Hinton-Hillcrest,Wind Speed,2026-02-06T11:00:00-07:00
0.04,Hinton-Hillcrest,Ozone,2026-02-06T11:00:00-07:00
0.0,Hinton-Hillcrest,Nitric Oxide,2026-02-06T11:00:00-07:00
