Value,StationName,ParameterName,ReadingDate
93.0,Steeper,Relative Humidity,2026-04-05T14:00:00-06:00
7.5,Steeper,Wind Speed,2026-04-05T14:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T14:00:00-06:00
0.033,Steeper,Ozone,2026-04-05T14:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T14:00:00-06:00
2.0,Steeper,,2026-04-05T14:00:00-06:00
-0.4,Steeper,Outdoor Temperature,2026-04-05T14:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T14:00:00-06:00
58.0,Steeper,Wind Direction,2026-04-05T14:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T14:00:00-06:00
0.9,Steeper,Fine Particulate Matter,2026-04-05T14:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T14:00:00-06:00
-0.6,Steeper,Outdoor Temperature,2026-04-05T13:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T13:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T13:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T13:00:00-06:00
93.1,Steeper,Relative Humidity,2026-04-05T13:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T13:00:00-06:00
7.2,Steeper,Wind Speed,2026-04-05T13:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T13:00:00-06:00
0.032,Steeper,Ozone,2026-04-05T13:00:00-06:00
56.0,Steeper,Wind Direction,2026-04-05T13:00:00-06:00
0.6,Steeper,Fine Particulate Matter,2026-04-05T13:00:00-06:00
2.0,Steeper,,2026-04-05T13:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T12:00:00-06:00
55.0,Steeper,Wind Direction,2026-04-05T12:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T12:00:00-06:00
6.1,Steeper,Wind Speed,2026-04-05T12:00:00-06:00
0.035,Steeper,Ozone,2026-04-05T12:00:00-06:00
0.4,Steeper,Fine Particulate Matter,2026-04-05T12:00:00-06:00
91.8,Steeper,Relative Humidity,2026-04-05T12:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T12:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T12:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T12:00:00-06:00
-0.5,Steeper,Outdoor Temperature,2026-04-05T12:00:00-06:00
2.0,Steeper,,2026-04-05T12:00:00-06:00
0.3,Steeper,Fine Particulate Matter,2026-04-05T11:00:00-06:00
91.3,Steeper,Relative Humidity,2026-04-05T11:00:00-06:00
4.2,Steeper,Wind Speed,2026-04-05T11:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T11:00:00-06:00
58.0,Steeper,Wind Direction,2026-04-05T11:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T11:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T11:00:00-06:00
2.0,Steeper,,2026-04-05T11:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T11:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T11:00:00-06:00
-0.6,Steeper,Outdoor Temperature,2026-04-05T11:00:00-06:00
0.033,Steeper,Ozone,2026-04-05T11:00:00-06:00
2.0,Steeper,,2026-04-05T10:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T10:00:00-06:00
-0.9,Steeper,Outdoor Temperature,2026-04-05T10:00:00-06:00
3.3,Steeper,Wind Speed,2026-04-05T10:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T10:00:00-06:00
0.3,Steeper,Fine Particulate Matter,2026-04-05T10:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T10:00:00-06:00
0.03,Steeper,Ozone,2026-04-05T10:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T10:00:00-06:00
63.0,Steeper,Wind Direction,2026-04-05T10:00:00-06:00
94.1,Steeper,Relative Humidity,2026-04-05T10:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T10:00:00-06:00
97.8,Steeper,Relative Humidity,2026-04-05T09:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T09:00:00-06:00
-2.1,Steeper,Outdoor Temperature,2026-04-05T09:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T09:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T09:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T09:00:00-06:00
0.029,Steeper,Ozone,2026-04-05T09:00:00-06:00
0.4,Steeper,Fine Particulate Matter,2026-04-05T09:00:00-06:00
53.0,Steeper,Wind Direction,2026-04-05T09:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T09:00:00-06:00
3.2,Steeper,Wind Speed,2026-04-05T09:00:00-06:00
2.0,Steeper,,2026-04-05T09:00:00-06:00
-2.6,Steeper,Outdoor Temperature,2026-04-05T08:00:00-06:00
0.001,Steeper,Nitrogen Dioxide,2026-04-05T08:00:00-06:00
49.0,Steeper,Wind Direction,2026-04-05T08:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T08:00:00-06:00
98.2,Steeper,Relative Humidity,2026-04-05T08:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T08:00:00-06:00
0.6,Steeper,Fine Particulate Matter,2026-04-05T08:00:00-06:00
2.0,Steeper,,2026-04-05T08:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T08:00:00-06:00
3.2,Steeper,Wind Speed,2026-04-05T08:00:00-06:00
0.03,Steeper,Ozone,2026-04-05T08:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T08:00:00-06:00
2.0,Steeper,,2026-04-05T07:00:00-06:00
-2.6,Steeper,Outdoor Temperature,2026-04-05T07:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T07:00:00-06:00
98.2,Steeper,Relative Humidity,2026-04-05T07:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T07:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T07:00:00-06:00
0.6,Steeper,Fine Particulate Matter,2026-04-05T07:00:00-06:00
3.3,Steeper,Wind Speed,2026-04-05T07:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T07:00:00-06:00
0.029,Steeper,Ozone,2026-04-05T07:00:00-06:00
48.0,Steeper,Wind Direction,2026-04-05T07:00:00-06:00
0.002,Steeper,Nitrogen Dioxide,2026-04-05T07:00:00-06:00
0.0,Steeper,Sulphur Dioxide,2026-04-05T06:00:00-06:00
0.0,Steeper,Nitric Oxide,2026-04-05T06:00:00-06:00
0.3,Steeper,Carbon Monoxide,2026-04-05T06:00:00-06:00
2.6,Steeper,Wind Speed,2026-04-05T06:00:00-06:00
0.03,Steeper,Ozone,2026-04-05T06:00:00-06:00
52.0,Steeper,Wind Direction,2026-04-05T06:00:00-06:00
0.002,Steeper,Nitrogen Dioxide,2026-04-05T06:00:00-06:00
-2.6,Steeper,Outdoor Temperature,2026-04-05T06:00:00-06:00
0.0,Steeper,Total Oxides of Nitrogen,2026-04-05T06:00:00-06:00
98.2,Steeper,Relative Humidity,2026-04-05T06:00:00-06:00
0.6,Steeper,Fine Particulate Matter,2026-04-05T06:00:00-06:00
2.0,Steeper,,2026-04-05T06:00:00-06:00
,Steeper,Nitrogen Dioxide,2026-04-05T05:00:00-06:00
-2.6,Steeper,Outdoor Temperature,2026-04-05T05:00:00-06:00
,Steeper,Ozone,2026-04-05T05:00:00-06:00
,Steeper,Total Oxides of Nitrogen,2026-04-05T05:00:00-06:00
0.7,Steeper,Fine Particulate Matter,2026-04-05T05:00:00-06:00
,Steeper,Sulphur Dioxide,2026-04-05T05:00:00-06:00
3.1,Steeper,Wind Speed,2026-04-05T05:00:00-06:00
50.0,Steeper,Wind Direction,2026-04-05T05:00:00-06:00
