Value,StationName,ParameterName,ReadingDate
,Wagner2,Sulphur Dioxide,2025-12-11T23:00:00-07:00
,Wagner2,Total Oxides of Nitrogen,2025-12-11T23:00:00-07:00
,Wagner2,Nitrogen Dioxide,2025-12-11T23:00:00-07:00
,Wagner2,Nitric Oxide,2025-12-11T23:00:00-07:00
,Wagner2,Relative Humidity,2025-12-11T23:00:00-07:00
,Wagner2,Outdoor Temperature,2025-12-11T23:00:00-07:00
,Wagner2,Wind Direction,2025-12-11T23:00:00-07:00
,Wagner2,Wind Speed,2025-12-11T23:00:00-07:00
65.0,Wagner2,Relative Humidity,2025-12-11T22:00:00-07:00
-20.3,Wagner2,Outdoor Temperature,2025-12-11T22:00:00-07:00
4.0,Wagner2,Wind Speed,2025-12-11T22:00:00-07:00
0.002,Wagner2,Nitrogen Dioxide,2025-12-11T22:00:00-07:00
300.0,Wagner2,Wind Direction,2025-12-11T22:00:00-07:00
0.001,Wagner2,Total Oxides of Nitrogen,2025-12-11T22:00:00-07:00
0.0,Wagner2,Nitric Oxide,2025-12-11T22:00:00-07:00
0.0,Wagner2,Sulphur Dioxide,2025-12-11T22:00:00-07:00
275.0,Wagner2,Wind Direction,2025-12-11T21:00:00-07:00
-20.6,Wagner2,Outdoor Temperature,2025-12-11T21:00:00-07:00
67.5,Wagner2,Relative Humidity,2025-12-11T21:00:00-07:00
0.002,Wagner2,Total Oxides of Nitrogen,2025-12-11T21:00:00-07:00
0.0,Wagner2,Sulphur Dioxide,2025-12-11T21:00:00-07:00
0.002,Wagner2,Nitrogen Dioxide,2025-12-11T21:00:00-07:00
0.0,Wagner2,Nitric Oxide,2025-12-11T21:00:00-07:00
4.4,Wagner2,Wind Speed,2025-12-11T21:00:00-07:00
0.0,Wagner2,Nitric Oxide,2025-12-11T20:00:00-07:00
-21.8,Wagner2,Outdoor Temperature,2025-12-11T20:00:00-07:00
0.002,Wagner2,Nitrogen Dioxide,2025-12-11T20:00:00-07:00
0.002,Wagner2,Total Oxides of Nitrogen,2025-12-11T20:00:00-07:00
0.0,Wagner2,Sulphur Dioxide,2025-12-11T20:00:00-07:00
2.7,Wagner2,Wind Speed,2025-12-11T20:00:00-07:00
71.0,Wagner2,Relative Humidity,2025-12-11T20:00:00-07:00
253.0,Wagner2,Wind Direction,2025-12-11T20:00:00-07:00
-21.3,Wagner2,Outdoor Temperature,2025-12-11T19:00:00-07:00
0.0,Wagner2,Nitric Oxide,2025-12-11T19:00:00-07:00
0.002,Wagner2,Nitrogen Dioxide,2025-12-11T19:00:00-07:00
0.0,Wagner2,Sulphur Dioxide,2025-12-11T19:00:00-07:00
0.002,Wagner2,Total Oxides of Nitrogen,2025-12-11T19:00:00-07:00
268.0,Wagner2,Wind Direction,2025-12-11T19:00:00-07:00
66.8,Wagner2,Relative Humidity,2025-12-11T19:00:00-07:00
