Value,StationName,ParameterName,ReadingDate,Zone
,Breton,Outdoor Temperature,2026-02-15T09:00:00-07:00,WCAS
,Breton,Ozone,2026-02-15T09:00:00-07:00,WCAS
,Breton,Wind Direction,2026-02-15T09:00:00-07:00,WCAS
,Breton,Nitric Oxide,2026-02-15T09:00:00-07:00,WCAS
,Breton,Relative Humidity,2026-02-15T09:00:00-07:00,WCAS
,Breton,Total Oxides of Nitrogen,2026-02-15T09:00:00-07:00,WCAS
,Breton,Sulphur Dioxide,2026-02-15T09:00:00-07:00,WCAS
,Breton,Wind Speed,2026-02-15T09:00:00-07:00,WCAS
,Breton,Nitrogen Dioxide,2026-02-15T09:00:00-07:00,WCAS
89.5,Breton,Relative Humidity,2026-02-15T08:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T08:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T08:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-15T08:00:00-07:00,WCAS
0.9,Breton,Wind Speed,2026-02-15T08:00:00-07:00,WCAS
-11.9,Breton,Outdoor Temperature,2026-02-15T08:00:00-07:00,WCAS
102.0,Breton,Wind Direction,2026-02-15T08:00:00-07:00,WCAS
0.021,Breton,Ozone,2026-02-15T08:00:00-07:00,WCAS
0.004,Breton,Nitrogen Dioxide,2026-02-15T08:00:00-07:00,WCAS
1.1,Breton,Wind Speed,2026-02-15T07:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T07:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T07:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T07:00:00-07:00,WCAS
0.024,Breton,Ozone,2026-02-15T07:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-15T07:00:00-07:00,WCAS
-11.2,Breton,Outdoor Temperature,2026-02-15T07:00:00-07:00,WCAS
88.5,Breton,Relative Humidity,2026-02-15T07:00:00-07:00,WCAS
120.0,Breton,Wind Direction,2026-02-15T07:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T06:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T06:00:00-07:00,WCAS
85.0,Breton,Relative Humidity,2026-02-15T06:00:00-07:00,WCAS
-10.0,Breton,Outdoor Temperature,2026-02-15T06:00:00-07:00,WCAS
1.8,Breton,Wind Speed,2026-02-15T06:00:00-07:00,WCAS
131.0,Breton,Wind Direction,2026-02-15T06:00:00-07:00,WCAS
0.026,Breton,Ozone,2026-02-15T06:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T06:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-15T06:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T05:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T05:00:00-07:00,WCAS
79.7,Breton,Relative Humidity,2026-02-15T05:00:00-07:00,WCAS
-7.2,Breton,Outdoor Temperature,2026-02-15T05:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T05:00:00-07:00,WCAS
0.031,Breton,Ozone,2026-02-15T05:00:00-07:00,WCAS
0.6,Breton,Wind Speed,2026-02-15T05:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-15T05:00:00-07:00,WCAS
120.0,Breton,Wind Direction,2026-02-15T05:00:00-07:00,WCAS
,Breton,Sulphur Dioxide,2026-02-15T04:00:00-07:00,WCAS
,Breton,Ozone,2026-02-15T04:00:00-07:00,WCAS
-7.4,Breton,Outdoor Temperature,2026-02-15T04:00:00-07:00,WCAS
,Breton,Total Oxides of Nitrogen,2026-02-15T04:00:00-07:00,WCAS
,Breton,Nitric Oxide,2026-02-15T04:00:00-07:00,WCAS
2.7,Breton,Wind Speed,2026-02-15T04:00:00-07:00,WCAS
,Breton,Nitrogen Dioxide,2026-02-15T04:00:00-07:00,WCAS
83.8,Breton,Relative Humidity,2026-02-15T04:00:00-07:00,WCAS
124.0,Breton,Wind Direction,2026-02-15T04:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T03:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-15T03:00:00-07:00,WCAS
0.031,Breton,Ozone,2026-02-15T03:00:00-07:00,WCAS
123.0,Breton,Wind Direction,2026-02-15T03:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T03:00:00-07:00,WCAS
84.1,Breton,Relative Humidity,2026-02-15T03:00:00-07:00,WCAS
-7.0,Breton,Outdoor Temperature,2026-02-15T03:00:00-07:00,WCAS
2.6,Breton,Wind Speed,2026-02-15T03:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T03:00:00-07:00,WCAS
0.033,Breton,Ozone,2026-02-15T02:00:00-07:00,WCAS
2.8,Breton,Wind Speed,2026-02-15T02:00:00-07:00,WCAS
82.8,Breton,Relative Humidity,2026-02-15T02:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-15T02:00:00-07:00,WCAS
-6.0,Breton,Outdoor Temperature,2026-02-15T02:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T02:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T02:00:00-07:00,WCAS
126.0,Breton,Wind Direction,2026-02-15T02:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T02:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T01:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-15T01:00:00-07:00,WCAS
0.034,Breton,Ozone,2026-02-15T01:00:00-07:00,WCAS
1.6,Breton,Wind Speed,2026-02-15T01:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T01:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T01:00:00-07:00,WCAS
75.6,Breton,Relative Humidity,2026-02-15T01:00:00-07:00,WCAS
-4.2,Breton,Outdoor Temperature,2026-02-15T01:00:00-07:00,WCAS
138.0,Breton,Wind Direction,2026-02-15T01:00:00-07:00,WCAS
250.0,Breton,Wind Direction,2026-02-15T00:00:00-07:00,WCAS
1.6,Breton,Wind Speed,2026-02-15T00:00:00-07:00,WCAS
72.3,Breton,Relative Humidity,2026-02-15T00:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T00:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T00:00:00-07:00,WCAS
