StationName,ParameterName,ReadingDate,Value,Zone
Edmonton McCauley,,2025-05-18T14:00:00-06:00,2.0,ACA
Edmonton McCauley,Wind Direction,2025-05-18T14:00:00-06:00,114.0,ACA
Edmonton McCauley,Nitric Oxide,2025-05-18T14:00:00-06:00,0.0,ACA
Edmonton McCauley,Total Oxides of Nitrogen,2025-05-18T14:00:00-06:00,0.002,ACA
Edmonton McCauley,Methane,2025-05-18T14:00:00-06:00,1.9,ACA
Edmonton McCauley,Outdoor Temperature,2025-05-18T14:00:00-06:00,15.6,ACA
Edmonton McCauley,Carbon Monoxide,2025-05-18T14:00:00-06:00,0.2,ACA
Edmonton McCauley,Wind Speed,2025-05-18T14:00:00-06:00,14.7,ACA
Edmonton McCauley,Non-methane Hydrocarbons,2025-05-18T14:00:00-06:00,0.0,ACA
Edmonton McCauley,Nitrogen Dioxide,2025-05-18T14:00:00-06:00,0.002,ACA
Edmonton McCauley,Total Hydrocarbons,2025-05-18T14:00:00-06:00,1.9,ACA
Edmonton McCauley,Fine Particulate Matter,2025-05-18T14:00:00-06:00,7.1,ACA
Edmonton McCauley,Relative Humidity,2025-05-18T14:00:00-06:00,43.2,ACA
Edmonton McCauley,Ozone,2025-05-18T14:00:00-06:00,0.04,ACA
Edmonton McCauley,Fine Particulate Matter,2025-05-18T13:00:00-06:00,7.1,ACA
Edmonton McCauley,Total Hydrocarbons,2025-05-18T13:00:00-06:00,1.9,ACA
Edmonton McCauley,Nitric Oxide,2025-05-18T13:00:00-06:00,0.0,ACA
Edmonton McCauley,Wind Speed,2025-05-18T13:00:00-06:00,14.6,ACA
Edmonton McCauley,Outdoor Temperature,2025-05-18T13:00:00-06:00,15.3,ACA
Edmonton McCauley,Nitrogen Dioxide,2025-05-18T13:00:00-06:00,0.002,ACA
Edmonton McCauley,Total Oxides of Nitrogen,2025-05-18T13:00:00-06:00,0.002,ACA
Edmonton McCauley,Relative Humidity,2025-05-18T13:00:00-06:00,44.6,ACA
Edmonton McCauley,Ozone,2025-05-18T13:00:00-06:00,0.039,ACA
Edmonton McCauley,Methane,2025-05-18T13:00:00-06:00,1.9,ACA
Edmonton McCauley,Non-methane Hydrocarbons,2025-05-18T13:00:00-06:00,0.0,ACA
Edmonton McCauley,Carbon Monoxide,2025-05-18T13:00:00-06:00,0.1,ACA
Edmonton McCauley,Wind Direction,2025-05-18T13:00:00-06:00,109.0,ACA
Edmonton McCauley,,2025-05-18T13:00:00-06:00,2.0,ACA
Edmonton McCauley,,2025-05-18T12:00:00-06:00,2.0,ACA
Edmonton McCauley,Outdoor Temperature,2025-05-18T12:00:00-06:00,14.5,ACA
Edmonton McCauley,Fine Particulate Matter,2025-05-18T12:00:00-06:00,6.9,ACA
Edmonton McCauley,Wind Speed,2025-05-18T12:00:00-06:00,12.9,ACA
Edmonton McCauley,Relative Humidity,2025-05-18T12:00:00-06:00,47.4,ACA
Edmonton McCauley,Wind Direction,2025-05-18T12:00:00-06:00,111.0,ACA
Edmonton McCauley,Methane,2025-05-18T12:00:00-06:00,1.9,ACA
Edmonton McCauley,Total Hydrocarbons,2025-05-18T12:00:00-06:00,1.9,ACA
Edmonton McCauley,Ozone,2025-05-18T12:00:00-06:00,0.036,ACA
Edmonton McCauley,Carbon Monoxide,2025-05-18T12:00:00-06:00,0.2,ACA
