StationName,Zone,LastReading
Edmonton McCauley,ACA,2025-05-18 14:00:00-06:00
St. Albert,ACA,2025-05-18 14:00:00-06:00
Woodcroft,ACA,2025-05-18 14:00:00-06:00
Edmonton East,ACA,2025-05-18 14:00:00-06:00
Edmonton Lendrum,ACA,2025-05-18 14:00:00-06:00
Ardrossan,ACA,2025-05-18 14:00:00-06:00
Sherwood Park,ACA,2025-05-18 14:00:00-06:00
O’Morrow Station 1,ACA,2025-05-18 14:00:00-06:00
Poacher’s Landing Station 2,ACA,2025-05-18 14:00:00-06:00
Leduc Sensor,ACA,2025-05-18 14:00:00-06:00
Breton,WCAS,2025-05-18 14:00:00-06:00
Carrot Creek,WCAS,2025-05-18 14:00:00-06:00
Drayton Valley,WCAS,2025-05-18 14:00:00-06:00
Edson,WCAS,2025-05-18 14:00:00-06:00
Genesee,WCAS,2025-05-18 14:00:00-06:00
Hinton-Drinnan,WCAS,2025-05-18 14:00:00-06:00
Meadows,WCAS,2025-05-18 14:00:00-06:00
Powers,WCAS,2025-05-18 14:00:00-06:00
Steeper,WCAS,2025-05-18 14:00:00-06:00
Wagner2,WCAS,2025-05-18 14:00:00-06:00
Hinton-Hillcrest,WCAS,2025-05-18 14:00:00-06:00
Jasper,WCAS,2025-05-18 14:00:00-06:00
Enoch,ACA,2025-05-18 14:00:00-06:00
